ID,2013 Pořadí skokani,2013 Pořadí skokani kraj,2013 Pořadí skokani kategorie,2013 Pořadí skokani kraj kategorie,2014 Pořadí skokani,2014 Pořadí skokani kraj,2014 Pořadí skokani kategorie,2014 Pořadí skokani kraj kategorie,2015 Pořadí skokani,2015 Pořadí skokani kraj,2015 Pořadí skokani kategorie,2015 Pořadí skokani kraj kategorie,2016 Pořadí skokani,2016 Pořadí skokani kraj,2016 Pořadí skokani kategorie,2016 Pořadí skokani kraj kategorie,2017 Pořadí skokani,2017 Pořadí skokani kraj,2017 Pořadí skokani kategorie,2017 Pořadí skokani kraj kategorie,2018 Pořadí skokani,2018 Pořadí skokani kraj,2018 Pořadí skokani kategorie,2018 Pořadí skokani kraj kategorie,2019 Pořadí skokani,2019 Pořadí skokani kraj,2019 Pořadí skokani kategorie,2019 Pořadí skokani kraj kategorie,2020 Pořadí skokani,2020 Pořadí skokani kraj,2020 Pořadí skokani kategorie,2020 Pořadí skokani kraj kategorie,2021 Pořadí skokani,2021 Pořadí skokani kraj,2021 Pořadí skokani kategorie,2021 Pořadí skokani kraj kategorie,2022 Pořadí skokani,2022 Pořadí skokani kraj,2022 Pořadí skokani kategorie,2022 Pořadí skokani kraj kategorie,2023 Pořadí skokani,2023 Pořadí skokani kraj,2023 Pořadí skokani kategorie,2023 Pořadí skokani kraj kategorie,2024 Pořadí skokani,2024 Pořadí skokani kraj,2024 Pořadí skokani kategorie,2024 Pořadí skokani kraj kategorie,2025 Pořadí skokani,2025 Pořadí skokani kraj,2025 Pořadí skokani kategorie,2025 Pořadí skokani kraj kategorie,2026 Pořadí skokani,2026 Pořadí skokani kraj,2026 Pořadí skokani kategorie,2026 Pořadí skokani kraj kategorie,2027 Pořadí skokani,2027 Pořadí skokani kraj,2027 Pořadí skokani kategorie,2027 Pořadí skokani kraj kategorie
4170,,,,,,,,,,,,,,,,,17,4,,,57,12,,,70,14,,,17,3,,,,,,,,,,,60,14,,,39,11,,,99,14,,,82,17,,,9,3,,
10918,,,,,,,,,,,,,,,,,22,5,,,84,11,,,,,,,,,,,70,9,,,98,14,,,65,8,,,66,8,,,115,14,,,73,8,,,22,4,,
41578,,,,,,,,,,,,,,,,,28,10,3,3,77,18,15,3,4,1,3,1,,,,,,,,,13,6,,,97,21,,,,,,,,,,,,,,,,,,
59848,,,,,,,,,,,,,,,,,36,12,,,86,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5229,,,,,,,,,,,,,,,,,1,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47351,,,,,,,,,,,,,,,,,57,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35373,,,,,,,,,,,,,,,,,61,8,,,41,10,,,60,7,,,37,8,,,88,10,,,110,11,,,,,,,,,,,,,,,,,,,,,,
33394,,,,,,,,,,,,,,,,,63,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,30,,,,,,,,,,
67297,,,,,,,,,,,,,,,,,65,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58161,,,,,,,,,,,,,,,,,67,11,,,,,,,,,,,7,3,,,92,26,,,113,7,,,7,1,,,,,,,,,,,,,,,,,,
67298,,,,,,,,,,,,,,,,,74,10,12,1,7,2,,,87,11,,,,,,,,,,,46,1,,,57,21,,,29,7,,,,,,,,,,,14,2,,
14678,,,,,,,,,,,,,,,,,77,2,,,,,,,77,1,,,105,3,,,,,,,,,,,,,,,,,,,,,,,42,4,,,,,,
71334,,,,,,,,,,,,,,,,,,,,,4,1,2,1,32,5,11,2,5,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51388,,,,,,,,,,,,,,,,,,,,,6,2,1,1,2,2,2,2,54,18,10,5,5,2,4,2,14,4,7,4,83,5,23,4,56,5,,,,,,,,,,,,,,
44725,,,,,,,,,,,,,,,,,,,,,7,3,5,3,37,8,14,5,68,10,19,4,32,2,,,94,6,,,42,5,,,89,11,,,21,3,,,135,21,,,,,,
44735,,,,,,,,,,,,,,,,,,,,,11,4,6,4,98,22,21,8,103,33,23,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71452,,,,,,,,,,,,,,,,,,,,,14,2,,,11,2,,,63,9,,,,,,,,,,,85,18,,,70,18,,,131,22,,,146,26,,,,,,
46971,,,,,,,,,,,,,,,,,,,,,16,5,7,2,21,4,9,1,27,6,12,3,96,28,,,58,15,,,49,16,,,113,26,,,12,2,,,97,20,,,,,,
67698,,,,,,,,,,,,,,,,,,,,,21,6,,,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69900,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,3,2,,,6,4,,,4,2,,,6,3,,,3,2,,,10,6,,,,,,,,,,
43828,,,,,,,,,,,,,,,,,,,,,23,1,8,1,62,3,16,2,24,1,11,1,18,1,,,78,8,,,,,,,,,,,,,,,,,,,,,,
58063,,,,,,,,,,,,,,,,,,,,,35,2,2,1,8,2,5,1,1,1,1,1,104,3,22,2,83,2,19,1,,,,,,,,,31,10,,,90,20,,,29,6,,
69569,,,,,,,,,,,,,,,,,,,,,43,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55039,,,,,,,,,,,,,,,,,,,,,52,3,3,1,,,,,,,,,30,8,12,5,10,3,6,3,14,3,,,36,8,,,141,35,,,,,,,,,,
58217,,,,,,,,,,,,,,,,,,,,,55,11,,,48,10,,,34,7,,,98,13,,,105,18,,,100,23,,,,,,,,,,,,,,,,,,
58187,,,,,,,,,,,,,,,,,,,,,59,13,,,26,4,,,49,8,,,99,30,,,41,12,,,111,34,,,80,17,,,121,29,,,123,24,,,,,,
38168,,,,,,,,,,,,,,,,,,,,,64,13,,,18,1,,,44,2,,,76,6,,,,,,,,,,,,,,,132,1,,,25,1,,,,,,
45344,,,,,,,,,,,,,,,,,,,,,72,4,,,,,,,,,,,35,4,,,116,5,,,,,,,,,,,,,,,,,,,,,,
43723,,,,,,,,,,,,,,,,,,,,,74,2,14,1,66,3,17,2,,,,,9,2,,,51,3,,,,,,,,,,,,,,,,,,,,,,
52867,,,,,,,,,,,,,,,,,,,,,76,17,,,26,4,,,84,11,,,78,10,,,53,15,,,119,28,,,,,,,,,,,,,,,,,,
58158,,,,,,,,,,,,,,,,,,,,,4,4,,,2,2,,,1,1,,,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,
45279,,,,,,,,,,,,,,,,,,,,,81,5,,,9,3,,,44,6,,,101,15,,,10,2,,,130,4,,,43,4,,,4,1,,,68,15,,,,,,
55465,,,,,,,,,,,,,,,,,,,,,84,1,,,,,,,,,,,104,32,,,,,,,,,,,,,,,,,,,,,,,,,,
16014,,,,,,,,,,,,,,,,,,,,,91,22,,,,,,,,,,,,,,,,,,,26,10,,,146,5,,,,,,,17,1,,,,,,
50716,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,2,3,2,103,31,16,7,51,14,16,4,10,3,6,3,46,14,,,116,15,,,46,4,,,18,2,,
50731,,,,,,,,,,,,,,,,,,,,,,,,,5,1,3,1,53,4,9,1,37,6,12,3,21,3,12,2,83,5,23,4,76,9,,,135,10,,,41,4,,,,,,
49139,,,,,,,,,,,,,,,,,,,,,,,,,6,3,4,3,54,18,10,5,,,,,,,,,,,,,,,,,,,,,58,12,,,,,,
33481,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,,76,12,,,49,4,,,73,3,,,127,11,,,,,,,,,,,86,12,,,,,,
50889,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,74,1,,,12,3,,,66,1,,,100,2,,,72,4,,,48,3,,,128,4,,,,,,
72649,,,,,,,,,,,,,,,,,,,,,,,,,17,4,,,26,4,,,,,,,,,,,8,1,,,68,5,,,,,,,,,,,,,,
72127,,,,,,,,,,,,,,,,,,,,,,,,,20,2,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43609,,,,,,,,,,,,,,,,,,,,,,,,,21,5,,,44,15,,,84,22,,,75,23,,,,,,,,,,,155,40,,,168,31,,,,,,
55468,,,,,,,,,,,,,,,,,,,,,,,,,29,7,1,1,2,1,1,1,3,1,2,1,61,17,10,4,20,8,7,3,78,16,21,7,,,,,,,,,,,,
47128,,,,,,,,,,,,,,,,,,,,,,,,,32,1,11,1,88,4,,,37,3,,,7,1,,,114,7,,,104,1,,,,,,,,,,,,,,
46968,,,,,,,,,,,,,,,,,,,,,,,,,32,5,7,1,9,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3037,,,,,,,,,,,,,,,,,,,,,,,,,42,3,,,91,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58228,,,,,,,,,,,,,,,,,,,,,,,,,48,10,,,78,27,,,88,24,,,25,9,,,69,24,,,93,20,,,81,19,,,160,30,,,6,3,,
73138,,,,,,,,,,,,,,,,,,,,,,,,,55,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58186,,,,,,,,,,,,,,,,,,,,,,,,,56,8,,,104,7,,,93,13,,,85,11,,,79,9,,,82,5,,,99,9,,,69,4,,,,,,
15058,,,,,,,,,,,,,,,,,,,,,,,,,60,6,,,43,1,,,70,5,,,80,2,,,123,3,,,,,,,,,,,,,,,,,,
72175,,,,,,,,,,,,,,,,,,,,,,,,,74,18,18,7,,,,,,,,,,,,,,,,,,,,,52,6,,,152,14,,,19,3,,
27156,,,,,,,,,,,,,,,,,,,,,,,,,80,8,,,80,13,,,,,,,,,,,,,,,110,24,,,,,,,,,,,,,,
43783,,,,,,,,,,,,,,,,,,,,,,,,,82,4,19,1,,,,,61,2,,,90,2,,,28,1,,,23,1,,,141,7,,,51,2,,,,,,
19338,,,,,,,,,,,,,,,,,,,,,,,,,87,9,,,,,,,22,2,,,43,2,,,77,2,,,59,2,,,78,2,,,65,2,,,,,,
58351,,,,,,,,,,,,,,,,,,,,,,,,,91,4,,,,,,,,,,,31,2,,,,,,,,,,,,,,,,,,,,,,
52885,,,,,,,,,,,,,,,,,,,,,,,,,96,17,8,1,,,,,17,1,8,1,6,1,,,43,9,,,59,16,,,,,,,,,,,,,,
13916,,,,,,,,,,,,,,,,,,,,,,,,,97,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25149,,,,,,,,,,,,,,,,,,,,,,,,,101,10,,,,,,,88,12,,,36,7,,,126,4,,,,,,,,,,,,,,,,,,
74828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,66,8,,,102,9,,,111,9,,,107,2,,,,,,,,,,,,,,
51337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5,,,40,10,,,70,21,,,81,27,,,85,19,,,99,25,,,157,29,,,,,,
51389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,6,7,4,109,34,24,10,111,30,,,,,,,121,29,,,,,,,,,,,,,,
54758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,7,,,66,19,,,,,,,,,,,,,,,,,,,,,,,,,,
51845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,4,1,18,4,8,1,29,5,14,2,47,6,19,3,113,13,,,90,11,,,102,10,,,,,,
76192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,4,,,24,3,,,34,5,,,105,7,,,78,7,,,116,6,,,151,5,,,,,,
51534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,5,2,1,63,7,15,2,5,3,4,2,121,29,29,6,,,,,,,,,,,,,,,,
52519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,3,1,1,1,5,2,1,1,3,1,,,1,1,,,5,1,,,12,2,,,11,3,,
63290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,2,3,1,30,5,11,2,18,2,7,1,103,6,27,1,102,14,22,4,25,4,,,76,16,,,,,,
52120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,11,7,3,61,16,14,6,19,5,10,5,102,32,26,10,110,24,,,19,6,,,141,26,,,,,,
74508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,13,4,2,8,4,5,3,2,2,2,2,16,5,7,1,131,33,25,8,16,4,,,88,18,,,5,2,,
48371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,8,,,44,3,,,42,1,,,63,7,,,25,3,,,166,21,,,121,20,,,,,,
70271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,14,,,,,,,,,,,51,18,,,116,27,,,35,13,,,,,,,,,,
74578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,17,,,24,6,,,,,,,,,,,98,12,,,,,,,,,,,,,,
76311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,3,,,15,1,,,92,3,,,,,,,107,2,,,,,,,,,,,,,,
49201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,4,,,24,2,,,104,6,,,,,,,,,,,,,,,,,,,,,,
33486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,1,1,,,3,1,,,1,1,,,8,6,,,4,3,,,11,6,,,5,2,,
58802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,28,12,7,,,,,,,,,72,1,,,43,1,,,44,1,,,126,3,,,,,,
58192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,29,,,49,13,,,58,15,,,44,15,,,67,14,,,130,33,,,171,32,,,,,,
58007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,8,22,3,,,,,,,,,,,,,,,,,,,,,55,3,,,11,2,,
58147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,32,,,96,28,,,67,19,,,81,17,,,,,,,,,,,,,,,,,,
41498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,10,,,,,,,64,10,,,18,2,,,142,14,,,21,1,,,65,5,,,,,,
56398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,9,1,5,1,23,3,9,3,10,1,8,1,143,5,25,1,20,6,,,45,14,,
57137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,28,9,9,3,8,2,5,2,,,,,,,,,,,,,,,,
67299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
30156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,6,4,19,5,8,3,32,12,15,5,25,6,14,5,61,17,,,67,15,,,42,12,,
56677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,7,1,73,4,11,1,26,1,13,1,33,1,17,1,154,6,,,135,5,,,,,,
56327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,5,9,2,14,3,6,1,63,7,21,4,8,1,6,1,54,7,,,104,11,,,,,,
75023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,6,,,65,18,,,12,2,,,125,30,,,65,18,,,75,16,,,,,,
60519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,4,10,1,29,4,14,3,107,8,28,6,98,8,,,132,9,,,,,,,,,,
58257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,
27665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3,,,112,4,,,,,,,,,,,,,,,,,,,,,,
49143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,10,13,5,98,28,21,9,,,,,,,,,,,,,,,,,,,,
41298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2,,,76,2,,,109,3,,,,,,,,,,,,,,,,,,
41764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,12,,,53,14,,,32,12,,,,,,,,,,,154,28,,,,,,
32650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,3,,,,,,,,,,,88,2,,,165,7,,,,,,,,,,
56659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,6,16,2,24,7,,,132,13,,,,,,,,,,,,,,,,,,
49821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,8,,,4,2,,,72,16,,,31,9,,,52,6,,,23,7,,,,,,
52475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,9,19,4,,,,,,,,,,,,,,,,,,,,,,,,
72136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,,,,,4,3,,,8,5,,,13,7,,,2,1,,
61833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,23,20,8,22,7,,,15,4,,,,,,,,,,,,,,,,,,
49472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,14,23,5,53,15,,,,,,,,,,,,,,,,,,,,,,
64710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,76,25,12,5,1,1,1,1,116,28,24,11,53,12,20,9,40,11,,
64716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,1,5,1,3,1,25,8,12,4,19,3,4,2,175,32,37,8,4,1,2,1
79748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,23,5,,,133,27,,,104,15,,,,,,,,,,
79651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5,,,35,8,,,36,10,,,38,4,,,146,6,,,16,1,,
45836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,8,,,104,24,,,135,28,,,,,,,,,,,,,,
34546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,1,,,123,3,,,,,,,137,7,,,149,9,,,,,,
48494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,2,,,86,4,,,22,2,,,70,4,,,107,7,,,,,,
38743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,1,,,9,1,,,9,1,,,6,1,,,1,1,,
49200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,4,,,,,,,15,1,,,80,7,,,97,5,,,,,,
44743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,26,,,93,30,,,105,22,,,81,19,,,104,22,,,,,,
79749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,27,12,5,35,14,16,6,58,15,19,5,156,16,,,163,17,,,,,,
53005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,5,21,2,,,,,,,,,73,3,,,146,7,,,,,,
71590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,23,3,1,1,42,4,3,1,8,1,4,1,34,9,2,2
59845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,28,4,13,3,30,9,7,4,14,5,9,4,,,,
63097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,145,11,26,3,,,,,,,,,,,,
76729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,98,12,,,116,12,,,110,15,,,,,,
18504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,,144,2,,,,,,,150,6,,,,,,
62432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,6,5,1,124,3,23,1,,,,,,,,,,,,
63417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,7,4,1,2,2,1,1,26,8,5,3,107,23,18,5,22,5,4,2
60071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,4,8,2,128,26,24,6,61,8,17,3,90,7,,,,,,
60431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,6,14,5,18,5,,,,,,,,,,,,,,
61875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,4,10,2,41,5,14,2,23,2,5,1,90,9,28,4,,,,
58188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,2,,,47,3,,,2,1,,,178,7,,,,,,
60346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2,18,1,,,,,,,,,,,,,,,,
63941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,19,11,4,11,3,7,3,38,16,12,8,28,7,14,5,31,7,,
80883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,19,,,,,,,,,,,,,,,,,,
56515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,12,,,91,21,,,122,7,,,128,7,,,,,,
372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,5,4,,,2,2,,,10,5,,,5,2,,
58190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,19,,,,,,,,,,,,,,,,,,
68614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,30,13,6,,,,,,,,,,,,,,,,
77314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,25,,,118,24,,,,,,,,,,,,,,
62328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,27,,,72,19,,,,,,,,,,,,,,
49414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,2,,,3,1,,,150,6,,,50,2,,,,,,
55902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,4,,,136,6,,,137,6,,,28,1,,,,,,
34521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,10,,,,,,,33,4,,,82,11,,,,,,
57763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,8,,,,,,,,,,,,,,,,,,
83343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,3,1,34,12,8,5,36,10,19,8,1,1,1,1
74145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,3,1,9,1,2,1,6,4,4,3,,,,
83342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,5,2,152,24,27,6,,,,,,,,
49606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,50,5,,,,,,,,,,
64687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,6,2,113,21,23,5,11,2,8,1,,,,
68817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2,2,1,59,3,13,1,53,3,12,3,22,2,4,1
60118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,5,9,4,170,22,30,1,62,7,23,2,,,,
60409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,6,,,147,23,,,61,13,,,29,8,,
62613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,6,10,3,,,,,,,,,,,,
84661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,6,4,,,9,4,,,,,,
55900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,8,,,122,30,,,14,3,,,,,,
56685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,13,,,104,15,,,167,6,,,,,,
59901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,6,,,49,5,,,135,25,,,,,,
48617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,11,,,158,41,,,,,,,,,,
48370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,6,,,41,5,,,110,15,,,,,,
14497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,7,,,129,14,,,59,6,,,,,,
67556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,15,15,5,93,22,20,9,35,9,18,7,,,,
25962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,4,,,76,4,,,121,3,,,19,1,,
38688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,10,,,93,13,,,117,12,,,,,,
72133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,,,,,,,,,,,,,,
69250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,7,,,,,,,24,1,,,,,,
40668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,16,,,132,15,,,,,,,,,,
52520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,17,,,,,,,,,,,,,,
47845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,18,,,,,,,,,,,,,,
44737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,36,,,,,,,,,,,,,,
59823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,4,,,,,,,,,,,,,,
30903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,1,,,,,,,69,4,,,,,,
58220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,78,3,,,,,,
58724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,177,8,,,,,,
66167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,1,1,93,18,16,2,,,,
68783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,1,1,59,14,13,4,,,,
85872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,
57579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,52,3,,,,,,
59794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2,,,93,18,,,,,,
34478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,117,2,,,,,,
85795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,2,1,,,10,2,,
66068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,1,2,1,6,2,4,2,,,,
85809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,10,,,,,,,,,,
