ID,2012 Kraj,2013 Kraj,2014 Kraj,2015 Kraj,2016 Kraj,2017 Kraj,2018 Kraj,2019 Kraj,2020 Kraj,2021 Kraj,2022 Kraj,2023 Kraj,2024 Kraj,2025 Kraj,2026 Kraj,2012 pořadí kraj,2013 pořadí kraj,2014 pořadí kraj,2015 pořadí kraj,2016 pořadí kraj,2017 pořadí kraj,2018 pořadí kraj,2019 pořadí kraj,2020 pořadí kraj,2021 pořadí kraj,2022 pořadí kraj,2023 pořadí kraj,2024 pořadí kraj,2025 pořadí kraj,2026 pořadí kraj,2012 pořadí kategorie,2013 pořadí kategorie,2014 pořadí kategorie,2015 pořadí kategorie,2016 pořadí kategorie,2017 pořadí kategorie,2018 pořadí kategorie,2019 pořadí kategorie,2020 pořadí kategorie,2021 pořadí kategorie,2022 pořadí kategorie,2023 pořadí kategorie,2024 pořadí kategorie,2025 pořadí kategorie,2026 pořadí kategorie,2012 pořadí kraj kategorie,2013 pořadí kraj kategorie,2014 pořadí kraj kategorie,2015 pořadí kraj kategorie,2016 pořadí kraj kategorie,2017 pořadí kraj kategorie,2018 pořadí kraj kategorie,2019 pořadí kraj kategorie,2020 pořadí kraj kategorie,2021 pořadí kraj kategorie,2022 pořadí kraj kategorie,2023 pořadí kraj kategorie,2024 pořadí kraj kategorie,2025 pořadí kraj kategorie,2026 pořadí kraj kategorie,2013 Pořadí skokani kraj,2013 Pořadí skokani kategorie,2013 Pořadí skokani kraj kategorie,2014 Pořadí skokani kraj,2014 Pořadí skokani kategorie,2014 Pořadí skokani kraj kategorie,2015 Pořadí skokani kraj,2015 Pořadí skokani kategorie,2015 Pořadí skokani kraj kategorie,2016 Pořadí skokani kraj,2016 Pořadí skokani kategorie,2016 Pořadí skokani kraj kategorie,2017 Pořadí skokani kraj,2017 Pořadí skokani kategorie,2017 Pořadí skokani kraj kategorie,2018 Pořadí skokani kraj,2018 Pořadí skokani kategorie,2018 Pořadí skokani kraj kategorie,2019 Pořadí skokani kraj,2019 Pořadí skokani kategorie,2019 Pořadí skokani kraj kategorie,2020 Pořadí skokani kraj,2020 Pořadí skokani kategorie,2020 Pořadí skokani kraj kategorie,2021 Pořadí skokani kraj,2021 Pořadí skokani kategorie,2021 Pořadí skokani kraj kategorie,2022 Pořadí skokani kraj,2022 Pořadí skokani kategorie,2022 Pořadí skokani kraj kategorie,2023 Pořadí skokani kraj,2023 Pořadí skokani kategorie,2023 Pořadí skokani kraj kategorie,2024 Pořadí skokani kraj,2024 Pořadí skokani kategorie,2024 Pořadí skokani kraj kategorie,2025 Pořadí skokani kraj,2025 Pořadí skokani kategorie,2025 Pořadí skokani kraj kategorie,2026 Pořadí skokani kraj,2026 Pořadí skokani kategorie,2026 Pořadí skokani kraj kategorie
2,Středočeský SST,Středočeský SST,,,,,,,,,,,,,,1622,1662,,,,,,,,,,,,,,10117,11109,,,,,,,,,,,,,,1622,1662,,,,,,,,,,,,,,442,2626,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,Středočeský SST,Středočeský SST,Středočeský SST,,Středočeský SST,Středočeský SST,Středočeský SST,,,,,,,,,971,1178,1299,,1524,1596,1510,,,,,,,,,7234,8401,9145,,10431,10759,10411,,,,,,,,,971,1178,1299,,1524,1596,1510,,,,,,,,,,,,,,,,,,,,,1995,12953,1995,1961,12266,1961,,,,,,,1639,10406,1639,706,4626,706,,,,,,
15,,,,,,,Středočeský SST,,Středočeský SST,,,,,,,,,,,,,1953,,2206,,,,,,,,,,,,,13292,,14259,,,,,,,,,,,,,1953,,2206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,Středočeský SST,,,Středočeský SST,,,,,,Středočeský SST,Středočeský SST,Středočeský SST,,,,2187,,,2012,,,,,,1850,1730,1701,,,,15138,,,13635,,,,,,12346,11785,11608,,,,2187,,,2012,,,,,,1850,1730,1701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557,3691,557,865,5557,865
18,Pražský SST,Pražský SST,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,,KSST Vysočina,KSST Vysočina,,,,12,14,4,6,4,4,1,4,4,,7,12,,,,86,84,87,95,77,90,61,86,113,,113,129,,,,12,14,4,6,4,4,1,4,4,,7,12,,,,45,225,45,14,472,14,23,601,23,4,134,4,26,503,26,3,89,3,35,763,35,35,717,35,,,,,,,36,650,36,,,,,,,,,
21,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,25,28,23,23,25,34,32,36,45,38,37,41,33,38,42,156,166,123,137,173,219,231,251,298,223,234,235,219,242,287,25,28,23,23,25,34,32,36,45,38,37,41,33,38,42,62,301,62,10,108,10,96,593,96,98,661,98,107,740,107,57,463,57,89,610,89,97,707,97,87,441,87,19,105,19,49,363,49,23,262,23,91,656,91,110,804,110
22,,,,,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,,,,,61,70,73,80,102,,136,144,108,115,121,,,,,1093,1242,1288,1434,1628,,2324,2370,1773,1929,2225,,,,,61,70,73,80,102,,136,144,108,115,121,,,,,,,,,,,,,423,8539,423,450,7070,450,519,8605,519,559,9664,559,,,,,,,361,6864,361,91,1787,91,486,8949,486,548,10119,548
23,,,,,,,,Pražský SST,,,,,Pražský SST,Pražský SST,Pražský SST,,,,,,,,928,,,,,384,275,310,,,,,,,,16820,,,,,4266,2622,3095,,,,,,,,928,,,,,384,275,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,604,52,727,10965,727
33,Pražský SST,Pražský SST,Pražský SST,Pražský SST,,,,,,,,,,,,77,70,85,101,,,,,,,,,,,,730,558,687,807,,,,,,,,,,,,77,70,85,101,,,,,,,,,,,,118,1371,118,587,7937,587,457,6610,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,18,18,18,19,17,25,23,22,21,,22,16,22,19,17,112,104,106,109,112,157,173,182,177,,179,128,139,163,166,18,18,18,19,17,25,23,22,21,,22,16,22,19,17,29,162,29,91,497,91,67,429,67,76,456,76,111,756,111,82,550,82,64,427,64,42,346,42,,,,,,,18,123,18,61,419,61,103,741,103,70,464,70
41,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,109,116,140,141,140,132,128,117,122,78,113,123,127,142,137,5348,6085,7256,8026,8034,7803,8362,7481,7764,4563,7514,7839,7755,8622,8771,109,116,140,141,140,132,128,117,122,78,113,123,127,142,137,115,6077,115,178,9603,178,88,4931,88,101,6976,101,76,4662,76,153,10442,153,35,3209,35,138,9936,138,40,3043,40,54,4118,54,143,9420,143,108,6574,108,169,12035,169,124,8052,124
42,,,,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,,,,,,KSST Karlovarský,,,,,109,126,111,102,100,,,,,,104,,,,,6247,7055,6308,6179,6131,,,,,,5815,,,,,109,126,111,102,100,,,,,,104,,,,,,,,,,,169,10891,169,41,2779,41,91,6240,91,95,6932,95,,,,,,,,,,,,,,,,,,,,,
43,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,,KSST Karlovarský,,,,,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,87,84,87,82,101,99,,87,,,,,97,116,110,4236,4103,4593,4761,5739,5618,,5481,,,,,5943,6561,6635,87,84,87,82,101,99,,87,,,,,97,116,110,31,2485,31,136,7545,136,73,4164,73,175,11561,175,92,5539,92,,,,,,,,,,,,,,,,,,,,,,160,11250,160,111,7551,111
44,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,,,,,,,,,85,92,98,99,116,112,108,,,,,,,,,4125,4460,5018,5514,6503,6557,6524,,,,,,,,,85,92,98,99,116,112,108,,,,,,,,,84,4656,84,147,8040,147,91,5048,91,179,11686,179,103,6369,103,97,6929,97,,,,,,,,,,,,,,,,,,,,,,,,
54,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,,,,,,,77,76,85,95,99,106,106,115,117,,,,,,,3627,3817,4462,5287,5713,6041,6435,7266,7478,,,,,,,77,76,85,95,99,106,106,115,117,,,,,,,72,4160,72,156,8447,156,138,7587,138,145,9338,145,144,8269,144,143,9518,143,173,12077,173,130,9393,130,,,,,,,,,,,,,,,,,,
59,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,125,159,165,186,241,219,183,219,244,226,385,340,290,262,297,922,1216,1239,1489,1977,1883,1586,1870,2138,1766,3150,2772,2531,2407,2588,125,159,165,186,241,219,183,219,244,226,385,340,290,262,297,1265,7631,1265,708,4688,708,1090,7587,1090,1616,11234,1616,721,5128,721,427,3234,427,1576,10133,1576,1674,10452,1674,1186,6500,1186,1174,6540,1174,607,3815,607,648,4234,648,872,5779,872,1323,8597,1323
63,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,109,125,88,91,124,95,73,59,88,64,85,74,93,112,86,1381,1586,1071,1165,1533,1254,960,798,1207,753,1169,931,1221,1581,1300,109,125,88,91,124,95,73,59,88,64,85,74,93,112,86,727,6178,727,68,791,68,547,5635,547,932,11163,932,246,2779,246,220,2478,220,270,3562,270,958,12822,958,42,570,42,542,5541,542,206,2793,206,810,11283,810,866,11641,866,210,2703,210
66,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,,Středočeský SST,Středočeský SST,896,753,670,904,935,956,709,892,961,579,947,1030,,1031,1256,5888,5409,5070,6860,7171,7347,5339,6611,7024,4038,7087,7503,,7752,9149,896,753,670,904,935,956,709,892,961,579,947,1030,,1031,1256,188,1112,188,429,2987,429,1491,10381,1491,1212,8421,1212,1014,7338,1014,87,664,87,2031,13189,2031,1717,10698,1717,198,1059,198,1050,5887,1050,1533,9879,1533,,,,,,,2050,13008,2050
67,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,,,Středočeský SST,Středočeský SST,,,Středočeský SST,Středočeský SST,Středočeský SST,,1409,1456,1200,1407,1375,,,1602,1594,,,1540,1549,1392,,8830,9838,8891,10288,10349,,,10869,10811,,,10420,10636,9845,,1409,1456,1200,1407,1375,,,1602,1594,,,1540,1549,1392,,919,5645,919,85,557,85,1033,7227,1033,1010,7099,1010,,,,,,,,,,1396,8680,1396,,,,,,,,,,1317,8544,1317,465,3085,465,,,
68,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,,Středočeský SST,Středočeský SST,Středočeský SST,436,416,559,616,494,416,335,373,207,235,327,,282,226,312,3048,3060,4164,4684,4007,3410,2761,2901,1813,1840,2640,,2439,2133,2736,436,416,559,616,494,416,335,373,207,235,327,,282,226,312,606,3623,606,1464,9887,1464,880,6202,880,356,2581,356,336,2476,336,361,2692,361,1213,7831,1213,125,806,125,1313,7212,1313,793,4565,793,,,,,,,625,4147,625,1894,12109,1894
75,,,,KSST Ústecký,KSST Ústecký,KSST Ústecký,KSST Ústecký,KSST Ústecký,KSST Ústecký,KSST Ústecký,KSST Ústecký,KSST Ústecký,KSST Ústecký,KSST Ústecký,,,,,673,797,779,783,808,713,435,780,730,764,770,,,,,10740,12339,12291,11976,12337,11238,6261,12453,11698,11832,11455,,,,,673,797,779,783,808,713,435,780,730,764,770,,,,,,,,,,,798,12921,798,260,4026,260,292,4341,292,719,11210,719,129,2098,129,464,6937,464,452,6835,452,180,2723,180,500,7956,500,371,5071,371,,,
87,KSST Olomoucký,,,,,,,,,,,,,,,695,,,,,,,,,,,,,,,10542,,,,,,,,,,,,,,,695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,219,315,247,258,296,354,391,434,457,386,470,488,495,558,587,2179,3202,2453,2917,3495,4052,4602,5216,5728,3867,5687,5868,5907,6848,7237,219,315,247,258,296,354,391,434,457,386,470,488,495,558,587,724,8828,724,95,1229,95,475,6727,475,626,10482,626,628,10468,628,641,11067,641,641,11090,641,684,11390,684,502,6297,502,222,2789,222,545,8919,545,434,6964,434,776,12279,776,631,9521,631
102,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,135,113,153,164,201,191,219,167,123,117,181,181,215,295,286,1317,1024,1397,1632,2076,1830,2139,1622,1145,951,1593,1532,2040,2865,2849,135,113,153,164,201,191,219,167,123,117,181,181,215,295,286,123,1414,123,670,9029,670,499,6964,499,641,10812,641,229,3794,229,588,9921,588,138,1959,138,106,1698,106,436,5470,436,497,6166,497,325,5297,325,727,11984,727,802,12762,802,437,6449,437
118,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,896,877,919,1150,921,819,1161,1217,954,652,941,1014,1077,1080,969,5888,6169,6832,8511,7102,6376,8519,8592,6977,4491,7051,7415,7992,8085,7379,896,877,919,1150,921,819,1161,1217,954,652,941,1014,1077,1080,969,574,3465,574,1186,8040,1186,1368,9557,1368,189,1354,189,389,2855,389,1887,13597,1887,1267,8162,1267,211,1350,211,1200,6560,1200,556,3272,556,1493,9641,1493,1631,10467,1631,1249,8219,1249,540,3392,540
119,,Středočeský SST,,,,,,,,,,,,,,,896,,,,,,,,,,,,,,,6286,,,,,,,,,,,,,,,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,KSST Karlovarský,KSST Karlovarský,,KSST Karlovarský,,,KSST Karlovarský,,,,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,KSST Karlovarský,133,131,,145,,,120,,,,136,137,148,146,131,6405,6720,,8196,,,7907,,,,9259,9016,9326,8773,8480,133,131,,145,,,120,,,,136,137,148,146,131,52,3465,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,5870,83,142,9190,142,70,4503,70,66,4954,66
139,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,583,492,421,713,570,584,503,567,455,,912,726,773,797,828,4018,3548,3132,5424,4486,4634,3988,4284,3672,,6808,5513,5907,6332,6362,583,492,421,713,570,584,503,567,455,,912,726,773,797,828,231,1371,231,378,2596,378,1587,11075,1587,290,2072,290,1014,7338,1014,399,2985,399,1497,9602,1497,490,3181,490,,,,,,,278,1771,278,1486,9580,1486,1603,10278,1603,1095,7128,1095
143,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,975,1078,1183,1565,,1550,1664,1710,1827,1048,1768,1692,1652,1549,1594,6318,7465,8764,11300,,11584,11625,11500,12133,6280,11899,11321,11198,10764,11016,975,1078,1183,1565,,1550,1664,1710,1827,1048,1768,1692,1652,1549,1594,1249,7580,1249,1455,9849,1455,1554,10863,1554,,,,,,,925,6929,925,1138,7367,1138,2049,12756,2049,267,1466,267,1041,5843,1041,576,3624,576,946,6048,946,731,4848,731,1360,8846,1360
146,Středočeský SST,Středočeský SST,Středočeský SST,,,,,,,,,,,,,569,721,831,,,,,,,,,,,,,3923,5207,6175,,,,,,,,,,,,,569,721,831,,,,,,,,,,,,,1415,8604,1415,1360,9201,1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,309,388,400,385,275,318,299,320,245,201,358,321,330,310,338,2229,2814,2951,3058,2228,2611,2513,2501,2147,1619,2908,2649,2835,2722,2894,309,388,400,385,275,318,299,320,245,201,358,321,330,310,338,1265,7631,1265,859,5823,859,561,3858,561,216,1514,216,1384,9970,1384,794,5847,794,1001,6369,1001,566,3723,566,785,4315,785,1181,6568,1181,746,4655,746,1292,8420,1292,848,5663,848,1298,8456,1298
150,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,,,,,,,,,,,,780,783,714,920,,,,,,,,,,,,5259,5639,5448,6971,,,,,,,,,,,,780,783,714,920,,,,,,,,,,,,728,4355,728,493,3429,493,1392,9699,1392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,,,,,,,629,770,746,767,1063,1137,1228,1239,1439,,,,,,,4346,5512,5679,5852,8034,8635,9001,8718,10002,,,,,,,629,770,746,767,1063,1137,1228,1239,1439,,,,,,,1352,8215,1352,779,5226,779,505,3380,505,1861,12949,1861,1311,9491,1311,1275,9381,1275,931,5958,931,2168,13446,2168,,,,,,,,,,,,,,,,,,
157,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,470,559,576,479,440,530,557,562,568,443,518,553,512,525,406,4976,6454,6540,5991,5622,7149,7131,7664,7497,4677,6521,6919,6157,6187,4452,470,559,576,479,440,530,557,562,568,443,518,553,512,525,406,709,8649,709,351,4688,351,89,1214,89,279,4686,279,764,12701,764,395,6929,395,615,10761,615,416,6994,416,502,6297,502,112,1299,112,622,9981,622,189,2702,189,500,7819,500,65,842,65
158,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,43,49,42,30,33,54,40,30,30,32,48,81,80,100,128,385,441,410,344,371,495,393,298,365,380,531,753,800,998,1270,43,49,42,30,33,54,40,30,30,32,48,81,80,100,128,1121,6781,1121,493,3429,493,445,2969,445,925,6561,925,1349,9731,1349,456,3424,456,411,2594,411,1660,10343,1660,1274,6988,1274,820,4697,820,1718,10800,1718,1086,7101,1086,1721,10996,1721,1709,11060,1709
160,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,,955,783,630,718,844,973,748,744,862,560,929,853,1122,926,,6237,5639,4762,5446,6503,7511,5680,5624,6391,3941,6957,6412,8267,7127,,955,783,630,718,844,973,748,744,862,560,929,853,1122,926,,153,927,153,186,1298,186,902,6358,902,1709,11863,1709,1615,11458,1615,119,869,119,1037,6649,1037,1961,12266,1961,592,3182,592,1075,6051,1075,700,4364,700,2090,13091,2090,343,2248,343,,,
161,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,765,505,510,599,635,605,626,587,638,,663,544,621,584,524,5185,3622,3763,4576,4923,4793,4757,4380,4863,,5095,4233,4935,4777,4282,765,505,510,599,635,605,626,587,638,,663,544,621,584,524,23,161,23,859,5823,859,1174,8159,1174,1250,8680,1250,742,5272,742,898,6659,898,704,4581,704,1782,11175,1782,,,,,,,383,2484,383,1785,11367,1785,897,5896,897,604,3896,604
166,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,,,,392,517,568,475,536,505,542,734,809,494,661,717,,,,2704,3726,4246,3707,4254,3989,4213,5575,6061,3501,5077,5474,,,,392,517,568,475,536,505,542,734,809,494,661,717,,,,1392,8482,1392,1168,7937,1168,221,1465,221,1433,10050,1433,619,4353,619,1231,8972,1231,2100,13561,2100,1768,11053,1768,132,744,132,501,2920,501,1533,9879,1533,,,,,,,,,
185,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,41,46,36,33,37,34,38,35,34,28,33,37,34,29,35,357,379,301,299,297,296,331,302,294,220,284,309,262,240,281,41,46,36,33,37,34,38,35,34,28,33,37,34,29,35,40,397,40,16,92,16,41,285,41,49,358,49,38,328,38,84,683,84,32,267,32,53,346,53,61,441,61,38,270,38,68,437,68,26,155,26,48,324,48,116,800,116
207,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,,Pražský SST,Pražský SST,Pražský SST,Pražský SST,,21,31,25,35,24,18,19,19,17,,28,36,32,35,,133,190,160,204,166,112,140,146,158,,179,189,217,220,,21,31,25,35,24,18,19,19,17,,28,36,32,35,,115,618,115,32,202,32,110,675,110,21,165,21,9,58,9,102,677,102,71,460,71,68,513,68,,,,,,,72,512,72,72,561,72,61,487,61,,,
211,Pražský SST,Pražský SST,Středočeský SST,,,,,,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,,,376,355,444,,,,,,905,628,947,903,923,,,3880,3743,3287,,,,,,6690,4357,7087,6722,6935,,,376,355,444,,,,,,905,628,947,903,923,,,206,2557,206,347,2380,347,,,,,,,,,,,,,,,,,,,1206,6617,1206,700,4118,700,869,5408,869,1271,8265,1271,,,,,,
212,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,,,,,,,596,646,524,671,424,405,508,567,693,,,,,,,4146,4662,3861,5086,3427,3320,4010,4284,5218,,,,,,,596,646,524,671,424,405,508,567,693,,,,,,,919,5645,919,208,1460,208,1392,9699,1392,81,568,81,782,5539,782,1628,11746,1628,1477,9466,1477,2069,12869,2069,,,,,,,,,,,,,,,,,,
227,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,62,73,86,48,40,70,122,151,63,59,59,55,87,107,91,531,610,701,489,421,635,1061,1219,661,580,591,590,838,1072,915,62,73,86,48,40,70,122,151,63,59,59,55,87,107,91,960,5859,960,1012,6897,1012,208,1375,208,485,3611,485,1634,11604,1634,1837,13216,1837,1423,9174,1423,118,743,118,916,5066,916,399,2305,399,895,5535,895,1801,11516,1801,1765,11250,1765,574,3637,574
231,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,,Středočeský SST,Středočeský SST,Středočeský SST,,,,,,,,422,484,466,593,,760,835,845,,,,,,,,2928,3481,3396,4547,,5883,6247,6347,,,,,,,,422,484,466,593,,760,835,845,,,,,,,,1136,6865,1136,642,4285,642,1420,9885,1420,,,,,,,1275,9381,1275,1213,7831,1213,,,,,,,,,,,,,,,,,,,,,
236,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,,,,,,,,,,,604,645,644,806,,,,,,,,,,,,5783,4956,5240,6996,,,,,,,,,,,,604,645,644,806,,,,,,,,,,,,65,636,65,644,6179,644,1018,10260,1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,,,,,,,,,,,785,1108,1073,1263,,,,,,,,,,,,8901,9866,10023,12085,,,,,,,,,,,,785,1108,1073,1263,,,,,,,,,,,,414,5049,414,402,3978,402,974,9766,974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,357,436,429,447,512,539,447,540,486,383,481,563,530,562,578,3844,4956,5001,5852,6575,6951,5939,7089,6442,4064,6549,7349,7309,7545,7727,357,436,429,447,512,539,447,540,486,383,481,563,530,562,578,985,8338,985,493,4892,493,674,6853,674,910,10891,910,705,8384,705,213,2400,213,953,12907,953,315,4251,315,461,4784,461,424,4367,424,834,11515,834,452,6705,452,658,9070,658,593,8190,593
242,,,KSST Ústecký,KSST Ústecký,KSST Ústecký,KSST Ústecký,,,,,,,,,,,,215,683,725,721,,,,,,,,,,,,9265,10890,11257,11445,,,,,,,,,,,,215,683,725,721,,,,,,,,,,,,,,,,191,8159,191,612,9574,612,384,5958,384,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,,KSST Ústecký,KSST Ústecký,KSST Ústecký,KSST Ústecký,KSST Ústecký,KSST Ústecký,KSST Ústecký,,KSST Ústecký,KSST Ústecký,KSST Ústecký,,KSST Ústecký,,,238,780,780,799,832,825,781,,765,789,831,,885,,,10786,12417,12153,12585,12624,12621,12169,,12244,12692,12907,,13168,,,238,780,780,799,832,825,781,,765,789,831,,885,,,,,,,141,5982,141,331,4930,331,511,7805,511,441,6659,441,580,8605,580,351,5406,351,,,,,,,697,11444,697,550,8675,550,,,,,,
