ID,2012 Kraj,2013 Kraj,2014 Kraj,2015 Kraj,2016 Kraj,2017 Kraj,2018 Kraj,2019 Kraj,2020 Kraj,2021 Kraj,2022 Kraj,2023 Kraj,2024 Kraj,2025 Kraj,2026 Kraj,2012 pořadí kraj,2013 pořadí kraj,2014 pořadí kraj,2015 pořadí kraj,2016 pořadí kraj,2017 pořadí kraj,2018 pořadí kraj,2019 pořadí kraj,2020 pořadí kraj,2021 pořadí kraj,2022 pořadí kraj,2023 pořadí kraj,2024 pořadí kraj,2025 pořadí kraj,2026 pořadí kraj,2012 pořadí kategorie,2013 pořadí kategorie,2014 pořadí kategorie,2015 pořadí kategorie,2016 pořadí kategorie,2017 pořadí kategorie,2018 pořadí kategorie,2019 pořadí kategorie,2020 pořadí kategorie,2021 pořadí kategorie,2022 pořadí kategorie,2023 pořadí kategorie,2024 pořadí kategorie,2025 pořadí kategorie,2026 pořadí kategorie,2012 pořadí kraj kategorie,2013 pořadí kraj kategorie,2014 pořadí kraj kategorie,2015 pořadí kraj kategorie,2016 pořadí kraj kategorie,2017 pořadí kraj kategorie,2018 pořadí kraj kategorie,2019 pořadí kraj kategorie,2020 pořadí kraj kategorie,2021 pořadí kraj kategorie,2022 pořadí kraj kategorie,2023 pořadí kraj kategorie,2024 pořadí kraj kategorie,2025 pořadí kraj kategorie,2026 pořadí kraj kategorie,2013 Pořadí skokani kraj,2013 Pořadí skokani kategorie,2013 Pořadí skokani kraj kategorie,2014 Pořadí skokani kraj,2014 Pořadí skokani kategorie,2014 Pořadí skokani kraj kategorie,2015 Pořadí skokani kraj,2015 Pořadí skokani kategorie,2015 Pořadí skokani kraj kategorie,2016 Pořadí skokani kraj,2016 Pořadí skokani kategorie,2016 Pořadí skokani kraj kategorie,2017 Pořadí skokani kraj,2017 Pořadí skokani kategorie,2017 Pořadí skokani kraj kategorie,2018 Pořadí skokani kraj,2018 Pořadí skokani kategorie,2018 Pořadí skokani kraj kategorie,2019 Pořadí skokani kraj,2019 Pořadí skokani kategorie,2019 Pořadí skokani kraj kategorie,2020 Pořadí skokani kraj,2020 Pořadí skokani kategorie,2020 Pořadí skokani kraj kategorie,2021 Pořadí skokani kraj,2021 Pořadí skokani kategorie,2021 Pořadí skokani kraj kategorie,2022 Pořadí skokani kraj,2022 Pořadí skokani kategorie,2022 Pořadí skokani kraj kategorie,2023 Pořadí skokani kraj,2023 Pořadí skokani kategorie,2023 Pořadí skokani kraj kategorie,2024 Pořadí skokani kraj,2024 Pořadí skokani kategorie,2024 Pořadí skokani kraj kategorie,2025 Pořadí skokani kraj,2025 Pořadí skokani kategorie,2025 Pořadí skokani kraj kategorie,2026 Pořadí skokani kraj,2026 Pořadí skokani kategorie,2026 Pořadí skokani kraj kategorie
35823,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,568,563,570,793,733,753,747,807,793,,724,673,705,738,820,7858,8534,8827,10242,9656,10115,10415,11199,11017,,10390,9696,10256,10322,10967,568,563,570,793,733,753,747,807,793,,724,673,705,738,820,326,4258,326,358,5452,358,507,7463,507,335,3516,335,733,8269,733,749,8821,749,985,12331,985,659,7880,659,,,,,,,292,3815,292,858,10948,858,660,8074,660,930,11249,930
35824,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,,KSST Vysočina,,KSST Vysočina,,,487,505,481,675,639,701,701,682,761,,680,,686,,,6846,7490,7538,9093,8844,9509,9758,9743,10543,,9810,,10059,,,487,505,481,675,639,701,701,682,761,,680,,686,,,381,4951,381,275,4189,275,591,8843,591,489,5362,489,850,9731,850,736,8696,736,623,7685,623,1013,12756,1013,,,,,,,,,,,,,,,,,,
35827,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,272,324,311,378,395,432,365,436,430,,395,376,327,413,422,4031,5131,4898,5587,6028,6457,5733,6776,6569,,6143,5926,5212,6351,6393,272,324,311,378,395,432,365,436,430,,395,376,327,413,422,617,8169,617,240,3513,240,434,6202,434,842,9476,842,772,8835,772,285,3332,285,1013,12638,1013,582,6834,582,,,,,,,474,5995,474,225,2702,225,1009,12713,1009,612,7277,612
35830,,,,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,KSST Kralovéhradecký,,KSST Kralovéhradecký,,,,,1148,1157,1082,1032,998,1018,657,971,1027,,1026,,,,,14396,14491,14369,14218,13759,14017,7010,13536,13712,,14003,,,,,1148,1157,1082,1032,998,1018,657,971,1027,,1026,,,,,,,,,,,544,6561,544,109,1281,109,357,4451,357,318,4186,318,900,12100,900,116,1210,116,529,5376,529,758,10498,758,,,,,,,,,
35832,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,,,509,640,613,629,605,699,748,791,879,496,896,903,993,,,7623,9035,9595,11226,11138,11804,12811,13732,13239,6807,12959,13170,13655,,,509,640,613,629,605,699,748,791,879,496,896,903,993,,,552,8114,552,493,7437,493,465,7690,465,341,6412,341,519,9491,519,727,12726,727,761,13727,761,291,4773,291,263,3657,263,383,4930,383,697,10202,697,757,11113,757,,,,,,
35833,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,KSST Olomoucký,214,144,162,107,88,100,116,136,122,,72,74,80,96,78,2917,2110,2323,1906,1605,1608,1940,2241,1934,,1248,1270,1256,1464,1220,214,144,162,107,88,100,116,136,122,,72,74,80,96,78,44,636,44,442,6559,442,90,1465,90,164,3151,164,322,6086,322,609,10442,609,578,10277,578,248,3936,248,,,,,,,444,6485,444,438,5777,438,598,10058,598,163,2965,163
35839,KSST Jihomoravský,,KSST Jihomoravský,,,,KSST Jihomoravský,KSST Jihomoravský,KSST Jihomoravský,,KSST Jihomoravský,,,,,48,,55,,,,60,73,79,,73,,,,,35,,72,,,,469,518,548,,524,,,,,13,,15,,,,60,73,79,,73,,,,,,,,,,,,,,,,,,,,,,,114,792,114,95,670,95,,,,,,,,,,,,,,,,,,
35856,,,,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,,,,,22,27,40,38,36,35,,28,28,28,33,,,,,747,807,816,819,796,857,,808,820,864,961,,,,,22,27,40,38,36,35,,28,28,28,33,,,,,,,,,,,19,753,19,19,464,19,30,591,30,20,513,20,36,786,36,,,,,,,15,444,15,15,442,15,20,793,20,,,
35859,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,Moravskoslezský SST,319,315,378,373,438,529,563,652,516,,503,414,392,398,334,2280,2123,2930,2896,3600,4465,4870,5624,4325,,4371,3570,3334,3489,2778,319,315,378,373,438,529,563,652,516,,503,414,392,398,334,249,2877,249,1013,9673,1013,283,3116,283,1077,11163,1077,1119,11947,1119,858,9779,858,1026,11830,1026,149,1423,149,,,,,,,226,2484,226,389,4739,389,612,7950,612,190,2156,190
35867,,Moravskoslezský SST,,,,,,,,,,,,,,,1190,,,,,,,,,,,,,,,10833,,,,,,,,,,,,,,,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
