ID,2013 Pořadí skokani,2013 Pořadí skokani kraj,2013 Pořadí skokani kategorie,2013 Pořadí skokani kraj kategorie,2014 Pořadí skokani,2014 Pořadí skokani kraj,2014 Pořadí skokani kategorie,2014 Pořadí skokani kraj kategorie,2015 Pořadí skokani,2015 Pořadí skokani kraj,2015 Pořadí skokani kategorie,2015 Pořadí skokani kraj kategorie,2016 Pořadí skokani,2016 Pořadí skokani kraj,2016 Pořadí skokani kategorie,2016 Pořadí skokani kraj kategorie,2017 Pořadí skokani,2017 Pořadí skokani kraj,2017 Pořadí skokani kategorie,2017 Pořadí skokani kraj kategorie,2018 Pořadí skokani,2018 Pořadí skokani kraj,2018 Pořadí skokani kategorie,2018 Pořadí skokani kraj kategorie,2019 Pořadí skokani,2019 Pořadí skokani kraj,2019 Pořadí skokani kategorie,2019 Pořadí skokani kraj kategorie,2020 Pořadí skokani,2020 Pořadí skokani kraj,2020 Pořadí skokani kategorie,2020 Pořadí skokani kraj kategorie,2021 Pořadí skokani,2021 Pořadí skokani kraj,2021 Pořadí skokani kategorie,2021 Pořadí skokani kraj kategorie,2022 Pořadí skokani,2022 Pořadí skokani kraj,2022 Pořadí skokani kategorie,2022 Pořadí skokani kraj kategorie,2023 Pořadí skokani,2023 Pořadí skokani kraj,2023 Pořadí skokani kategorie,2023 Pořadí skokani kraj kategorie,2024 Pořadí skokani,2024 Pořadí skokani kraj,2024 Pořadí skokani kategorie,2024 Pořadí skokani kraj kategorie,2025 Pořadí skokani,2025 Pořadí skokani kraj,2025 Pořadí skokani kategorie,2025 Pořadí skokani kraj kategorie,2026 Pořadí skokani,2026 Pořadí skokani kraj,2026 Pořadí skokani kategorie,2026 Pořadí skokani kraj kategorie
40332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1412,128,1412,128,,,,,1858,147,1858,147,,,,,763,61,763,61,2444,173,2444,173
66021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,14,69,14,,,,,,,,,,,,,,,,,,,,
47815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1412,221,1412,221,,,,,496,70,496,70,1502,193,1502,193,806,106,806,106,2551,337,2551,337
49645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433,177,1433,177,,,,,,,,,,,,,,,,,,,,
19282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433,177,1433,177,1053,124,1053,124,,,,,715,81,715,81,1438,149,1438,149,432,50,432,50
46605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,177,1450,177,,,,,,,,,1641,193,1641,193,856,88,856,88,2097,251,2097,251
40270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,83,1450,83,,,,,1603,88,1603,88,,,,,,,,,1495,122,1495,122
60293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,177,57,14,15,1,11,1,56,6,30,3,89,11,43,8,2414,133,225,9,643,47,144,8
21310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1465,180,1465,180,1201,145,1201,145,129,15,129,15,369,45,369,45,,,,,,,,
55601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1465,180,1465,180,,,,,2012,248,2012,248,,,,,,,,,,,,
59710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1478,180,1478,180,,,,,,,,,,,,,2262,258,2262,258,,,,
62006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1478,235,128,10,806,115,147,14,1945,248,202,15,,,,,,,,,,,,
61505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1533,70,193,15,493,26,123,9,53,5,53,5,140,3,140,3,336,15,336,15,1801,101,1801,101
5410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1533,90,1533,90,,,,,,,,,,,,,,,,,,,,
1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1533,162,1533,162,,,,,,,,,,,,,,,,,,,,
67787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1603,256,14,3,,,,,5,1,4,1,1916,249,146,18,,,,,,,,
33417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1621,83,1621,83,,,,,1756,99,1756,99,,,,,,,,,490,35,490,35
64372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1641,177,136,22,287,41,68,13,571,68,128,23,159,24,67,11,238,30,238,30,952,103,952,103
10035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1684,79,1684,79,381,23,381,23,1339,77,1339,77,1858,106,1858,106,2050,111,2050,111,2477,126,2477,126
59328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,98,1695,98,,,,,360,19,360,19,798,51,798,51,95,4,95,4,1913,109,1913,109
67225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,7,20,3,14,3,7,2,,,,,,,,,,,,,,,,
53062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1699,154,1699,154,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1702,210,1702,210,,,,,,,,,,,,,664,73,664,73,2288,261,2288,261
