ID,2012 pořadí kategorie,2013 pořadí kategorie,2014 pořadí kategorie,2015 pořadí kategorie,2016 pořadí kategorie,2017 pořadí kategorie,2018 pořadí kategorie,2019 pořadí kategorie,2020 pořadí kategorie,2021 pořadí kategorie,2022 pořadí kategorie,2023 pořadí kategorie,2024 pořadí kategorie,2025 pořadí kategorie,2026 pořadí kategorie,2013 Pořadí skokani kategorie,2014 Pořadí skokani kategorie,2015 Pořadí skokani kategorie,2016 Pořadí skokani kategorie,2017 Pořadí skokani kategorie,2018 Pořadí skokani kategorie,2019 Pořadí skokani kategorie,2020 Pořadí skokani kategorie,2021 Pořadí skokani kategorie,2022 Pořadí skokani kategorie,2023 Pořadí skokani kategorie,2024 Pořadí skokani kategorie,2025 Pořadí skokani kategorie,2026 Pořadí skokani kategorie
59238,,177,480,362,756,,,,,,,,,,,,466,203,1009,,,,,,,,,,
59247,,,952,,1635,2150,,,,,,,,,,,,,,,,,,,,,,,
59249,,275,120,65,68,76,,,,,,,,,,,3,139,566,1274,,,,,,,,,
59250,,263,315,336,395,352,,,,,,,,,,,131,213,216,161,,,,,,,,,
59251,,257,238,308,290,,,,,,,,,,,,92,182,166,,,,,,,,,,
59260,,,,1482,1755,1681,,,,,,,,,,,,,1336,1176,,,,,,,,,
59261,,752,1097,,,,,,,,,,,,,,410,,,,,,,,,,,,
59262,,346,,,,,,,,,,,,,,,,,,,,,,,,,,,
59271,,,134,,180,,,,,,,,,,,,,,,,,,,,,,,,
59275,,,,637,619,,,,,,,,,,,,,,503,,,,,,,,,,
59281,,849,897,1458,1395,1744,1486,1743,1613,,,,,,,,297,442,901,877,808,1464,1151,,,,,,
59282,,,,1855,1944,,,,,,,,,,,,,,,,,,,,,,,,
59284,,,308,524,447,721,,,,,,,,,,,,506,543,1296,,,,,,,,,
59295,,420,994,,,,,,,,,,,,,,,,,,,,,,,,,,
59297,,1246,1234,1854,,,,,,,,,,,,,491,996,,,,,,,,,,,
59299,,834,897,1601,1405,1747,1714,,,,,,,,,,379,876,516,856,1438,,,,,,,,
59300,,782,1219,1287,1666,1637,1966,,,,,,,,,,537,506,1201,1156,1713,,,,,,,,
59301,,788,,,,,,,,,,,,,,,,,,,,,,,,,,,
59302,,222,203,270,,,,,,,,,,,,,103,175,,,,,,,,,,,
59303,,304,653,640,1126,,,,,,,,,,,,278,333,1004,,,,,,,,,,
59305,,816,906,,,,,,,,,,,,,,464,,,,,,,,,,,,
59306,,858,932,1643,1420,1619,1408,1678,1577,,,,,,,,401,825,,510,920,1464,1260,,,,,,
59307,,264,,,,,,,,,,,,,,,,,,,,,,,,,,,
59308,,591,620,,,,,,,,,,,,,,700,,,,,,,,,,,,
59309,,48,38,112,36,141,76,190,92,122,157,188,223,,,,29,53,21,433,179,465,200,237,595,520,1338,,
59320,,,307,328,,,,,,,,,,,,,,599,,,,,,,,,,,
59328,,,,249,371,234,325,338,,,,,,,,,,,739,249,1114,1289,,,,,,,
59329,,,,193,297,238,379,258,,,,,,,,,,,729,564,1595,361,,,,,,,
59330,,,,293,480,,,,,,,,,,,,,,1582,,,,,,,,,,
59331,,,,92,258,,,,,,,,,,,,,,1068,,,,,,,,,,
59332,,,,128,124,122,141,245,,,,,,,,,,,229,924,686,1728,,,,,,,
59333,,250,616,,,,,,,,,,,,,,421,,,,,,,,,,,,
59334,,87,329,389,,,,,,,,,,,,,156,203,,,,,,,,,,,
59335,,,,869,834,,,,,,,,,,,,,,481,,,,,,,,,,
59340,,,,,,,,2005,1996,,1651,1648,,,,,,,,,,,,,,1123,,,
59349,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,
59352,,122,472,,,,,,,,,,,,,,,,,,,,,,,,,,
59353,,121,481,,,,,,,,,,,,,,,,,,,,,,,,,,
59355,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
59356,,369,,,,,,,,,,,,,,,,,,,,,,,,,,,
59358,,327,334,400,423,,,,,,,,,,,,,,290,,,,,,,,,,
59360,,,,,,200,515,486,,,,,,,,,,,,,519,465,,,,,,,
59363,,214,99,223,155,251,255,325,284,264,335,,,,,,22,279,259,344,815,377,923,132,723,,,,
59366,,179,105,263,245,,,,,,,,,,,,82,712,681,,,,,,,,,,
59367,,29,152,109,147,126,317,316,,,471,465,,,,,186,102,67,283,1029,769,,,,1142,,,
59368,,333,233,454,295,,,,,,,,,,,,150,587,210,,,,,,,,,,
59370,,,,,,,,336,340,,,,,,,,,,,,,,221,,,,,,
59377,,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,
59387,,1719,,,,,,,,,,,,,,,,,,,,,,,,,,,
59388,,1521,,,,,,,,,,,,,,,,,,,,,,,,,,,
59391,,1441,,2027,1919,,,,,,,,,,,,,,1159,,,,,,,,,,
59401,,,,76,64,226,198,364,345,,,,,,,,,,20,201,153,244,376,,,,,,
59411,,88,278,216,181,186,179,235,388,,,,,,,,439,217,11,854,113,1366,1502,,,,,,
59412,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,
59413,,16,54,23,51,59,69,109,,,,,,,,,77,12,260,372,180,958,,,,,,,
59419,,,18,47,35,32,16,30,25,38,31,,42,,,,,20,27,5,15,97,116,135,73,,,,
59421,,572,,,,,,,,,,,,,,,,,,,,,,,,,,,
59422,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
59423,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
59424,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,
59427,,,,,462,691,577,755,634,563,633,,,,,,,,,584,556,699,728,629,333,,,,
59443,,,,80,37,81,36,89,108,,,,,,,,,,59,49,179,523,862,,,,,,
59445,,739,739,,,,,,,,,,,,,,330,,,,,,,,,,,,
59448,,,,289,561,531,,,,,,,,,,,,,316,505,,,,,,,,,
59452,,,,188,419,363,640,,,,,1068,,,,,,,359,406,857,,,,,,,,
59454,,,10,66,26,35,16,40,35,71,87,136,,,,,,105,50,14,137,518,741,725,583,906,,,
59461,,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,
59463,,1778,1778,,,,,,,,,,,,,,,,,,,,,,,,,,
59487,,,,277,,,,,,,,,,,,,,,,,,,,,,,,,
59490,,326,,,,,,,,,,,,,,,,,,,,,,,,,,,
59493,,243,426,397,728,709,757,513,577,,,,,,,,152,361,784,931,284,200,662,,,,,,
59494,,1057,915,1614,1491,,,,,,,,,,,,335,1302,920,,,,,,,,,,
59496,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,
59506,,,,465,202,253,198,246,328,362,514,,,,,,,,38,160,480,310,1261,888,796,,,,
59507,,,,1456,1858,,,,,,,,,,,,,,1177,,,,,,,,,,
59518,,,65,,212,158,324,257,,,,,,,,,,,,262,715,430,,,,,,,
59520,,,,,,,756,1160,,,,,,,,,,,,,,885,,,,,,,
59529,,65,53,30,31,20,47,30,63,45,55,60,,,,,4,34,17,241,543,355,1146,380,415,988,,,
59532,,,,,112,85,164,129,,95,131,103,130,,,,,,,,100,84,,,18,64,164,,
59533,,,32,,83,60,129,,,,,,,,,,,,,46,100,,,,,,,,
59534,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,
59535,,352,,882,777,636,830,787,952,,,,,,,,,,50,548,703,1016,1031,,,,,,
59537,,,13,7,18,5,12,9,26,,22,36,,,,,,16,13,9,211,264,694,,,952,,,
59539,,,,2,8,6,13,6,6,3,9,8,,16,,,,,49,49,17,51,17,51,118,142,,,
59540,,,,,17,21,25,38,37,40,41,65,74,,,,,,,19,83,76,101,39,113,245,225,,
59549,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
59551,,329,624,552,841,,,,,,,,,,,,654,432,1177,,,,,,,,,,
59552,,,,316,249,436,,,,,,,,,,,,,288,569,,,,,,,,,
59553,,335,,,,,,,,,,,,,,,,,,,,,,,,,,,
59554,,1143,,,,,,,,,,,,,,,,,,,,,,,,,,,
59555,,281,432,310,286,193,336,295,319,238,,,,,,,107,190,32,198,1263,673,578,587,,,,,
59556,,,,817,,,,,,,,,,,,,,,,,,,,,,,,,
59570,,21,64,,,,,,,,,,,,,,22,,,,,,,,,,,,
59573,,1016,,,,,,,,,,,,,,,,,,,,,,,,,,,
59575,,,,756,,,,,,,,,,,,,,,,,,,,,,,,,
59580,,,,36,123,66,138,114,252,144,343,,474,202,,,,,90,66,186,261,699,154,532,,,93,
59582,,,,661,508,672,532,,,,,,,,,,,,410,629,521,,,,,,,,
59588,,494,,,,,,,,,,,,,,,,,,,,,,,,,,,
59590,,,501,,,,,,,,,,,,,,,,,,,,,,,,,,
59591,,,312,,,,,,,,,,,,,,,,,,,,,,,,,,
59592,,1186,1129,1603,1387,1726,,,,,,,,,,,476,729,680,1570,,,,,,,,,
59596,,723,585,1012,751,1055,,,,,,,,,,,181,561,392,1087,,,,,,,,,
59608,,807,824,1549,,,,,,,,,,,,,319,947,,,,,,,,,,,
59609,,368,865,1127,,,,,,,,,,,,,373,560,,,,,,,,,,,
59610,,705,647,1261,1249,,,,,,,,,,,,245,910,967,,,,,,,,,,
59612,,,,,,,,1249,,,,,,,,,,,,,,,,,,,,,
59616,,401,,,,,,,,,,,,,,,,,,,,,,,,,,,
59617,,62,41,14,77,74,146,78,220,,248,202,310,261,,,14,6,95,191,179,68,856,,,533,1122,780,
59618,,92,359,,,,,,,,,,,,,,172,,,,,,,,,,,,
59619,,66,45,20,83,45,76,88,203,,241,253,371,366,,,14,8,77,58,84,416,774,,,896,1023,978,
59620,,91,61,71,209,134,302,242,445,,,,,,,,11,29,89,85,314,316,653,,,,,,
59626,,908,,,,,,,,,,,,,,,,,,,,,,,,,,,
59629,,191,227,389,333,,,,,,,,,,,,179,203,354,,,,,,,,,,
59630,,579,,,,,,,,,,,,,,,,,,,,,,,,,,,
59631,,,,678,,,,,,,,,,,,,,,,,,,,,,,,,
59634,,123,473,,1256,,,,,,,,,,,,,,,,,,,,,,,,
59639,,,,142,142,,,,,,,,,,,,,,102,,,,,,,,,,
59640,,,,131,108,144,,,,,,,,,,,,,58,107,,,,,,,,,
59641,,,,955,,,,,,,,,,,,,,,,,,,,,,,,,
59642,,,,126,145,130,165,,,,,,,,,,,,92,140,253,,,,,,,,
59643,,,,,,396,223,376,272,310,318,481,526,,,,,,,,155,408,419,309,360,1100,1336,,
59644,,,,32,37,33,,,,,,,,,,,,,34,41,,,,,,,,,
59646,,333,,,,741,662,779,674,,,,,,,,,,,,785,759,846,,,,,,
59647,,,197,186,347,233,305,223,325,228,562,599,,,,,,160,247,192,212,327,794,564,828,1261,,,
59648,,,397,247,391,356,,,,,,,,,,,,120,455,684,,,,,,,,,
59651,,,,,908,893,,,,,,,,,,,,,,916,,,,,,,,,
59674,,,,695,,,,,,,,,,,,,,,,,,,,,,,,,
59681,,,,847,,1014,967,1232,1124,,1410,,,,,,,,,,968,989,969,,,,,,
59682,,,,,,402,315,,,,,,,,,,,,,,365,,,,,,,,
59683,,,,1026,873,993,996,1119,1115,,,,,,,,,,613,479,1331,740,1493,,,,,,
59684,,,,942,1335,1602,,,,,,,,,,,,,1528,1248,,,,,,,,,
59685,,,,40,125,136,,,,,,,,,,,,,65,215,,,,,,,,,
59686,,,,372,560,325,562,551,718,477,,,,,,,,,415,154,1208,1041,1151,582,,,,,
59687,,,,248,619,552,,,,,,,,,,,,,523,460,,,,,,,,,
59688,,,,534,393,513,395,764,,,,,,,,,,,247,310,435,1363,,,,,,,
59714,,,,489,387,562,511,,,,,,,,,,,,484,1545,893,,,,,,,,
59715,,,,792,721,1029,1101,,,,,,,,,,,,866,1618,1702,,,,,,,,
59728,,692,691,,1202,,,,,,,,,,,,330,,,,,,,,,,,,
59729,,630,,,,,,,,,,,,,,,,,,,,,,,,,,,
59730,,115,453,496,1059,987,1411,,,,,,,,,,,,,,864,,,,,,,,
59731,,282,243,284,268,504,,,,,,,,,,,238,84,718,1482,,,,,,,,,
59734,,252,485,558,,,,,,,,,,,,,592,897,,,,,,,,,,,
59735,,286,295,768,814,,,,,,,,,,,,141,490,587,,,,,,,,,,
59736,,754,768,1340,1273,,,,,,,,,,,,349,667,890,,,,,,,,,,
59740,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,
59741,,215,182,,323,,,,,,,,,,,,16,,,,,,,,,,,,
59747,,,,350,351,408,290,414,501,478,651,,,,,,,,499,148,309,709,1260,718,706,,,,
59751,,295,169,255,189,425,271,384,324,348,285,,,,,,31,111,293,892,217,597,754,841,242,,,,
59752,,151,147,252,222,,,,,,,,,,,,80,195,108,,,,,,,,,,
59779,,,,,,,,1705,2036,,,,,,,,,,,,,,1392,,,,,,
59781,,,,,,,,1462,1537,,1579,,,,,,,,,,,,1250,,,,,,
59782,,,,,,,,2486,2933,,,,,,,,,,,,,,,,,,,,
59784,,762,,,,,,,,,,,,,,,,,,,,,,,,,,,
59788,,24,15,57,9,50,18,66,22,,45,58,36,,,,21,44,5,451,106,882,156,,,606,517,,
59794,,,95,,190,189,88,118,115,115,93,,,,,,,,,30,62,673,984,263,402,,,,
59796,,,,1108,1139,,,,,,,,,,,,,,1486,,,,,,,,,,
59802,,,,1052,,,,,,,,,,,,,,,,,,,,,,,,,
59818,,,,,554,,,,,,,,,,,,,,,,,,,,,,,,
59820,,,,,569,609,531,,,,,,,,,,,,,454,754,,,,,,,,
59823,,,,,105,70,87,78,117,88,,,,,,,,,,378,354,874,1221,465,,,,,
59835,,976,1225,,,,,,,,,,,,,,995,,,,,,,,,,,,
59836,,,,,152,129,174,170,235,,,,,,,,,,,88,132,173,217,,,,,,
59845,,,26,8,2,1,2,2,8,2,3,2,3,2,1,,,11,2,1,60,52,361,95,122,321,711,689,748
59846,,,89,60,83,60,83,70,121,,,,,,,,,55,51,195,256,647,939,,,,,,
59847,,,45,37,188,131,263,202,378,213,468,390,,,,,,22,186,102,226,280,624,324,454,549,,,
59859,,,38,32,18,54,26,41,26,39,34,50,46,58,63,,,,,40,7,19,36,42,55,125,114,198,226
59860,,,,,1010,,1212,1080,,,,,,,,,,,,,,865,,,,,,,
59861,,749,,,,,,,,,,,,,,,,,,,,,,,,,,,
59862,,,343,223,290,317,,,,,,,,,,,,48,72,625,,,,,,,,,
59863,,,1683,2303,2271,,,,,,,,,,,,,1092,1380,,,,,,,,,,
59864,,,94,,401,,,,,,,,,,,,,,,,,,,,,,,,
59866,,118,115,478,,,,,,,,,,,,,,,,,,,,,,,,,
59867,,113,446,460,,765,1138,,,,,,,,,,,,,,864,,,,,,,,
59868,,111,98,402,283,651,625,,,,,,,,,,23,100,80,472,555,,,,,,,,
59872,,689,,981,837,957,685,759,698,,,,,,,,,,599,482,291,555,1060,,,,,,
59873,,699,972,1239,,1501,,,,,,,,,,,819,1293,,,,,,,,,,,
59874,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,
59875,,240,184,350,229,393,328,491,504,,,,,,,,65,230,173,509,560,807,1190,,,,,,
59883,,958,1041,995,820,981,914,,,,,,,,,,831,70,558,856,953,,,,,,,,
59886,,875,,,,,,,,,,,,,,,,,,,,,,,,,,,
59887,,492,491,,,,,,,,,,,,,,592,,,,,,,,,,,,
59889,,731,703,552,620,679,826,745,,,,,,,,,54,242,335,1384,905,926,,,,,,,
59890,,,48,209,98,193,123,254,208,,345,576,618,,,,,141,39,133,258,498,653,,,1292,1328,,
59891,,382,,,,,,,,,,,,,,,,,,,,,,,,,,,
59893,,503,,,,,,,,,,,,,,,,,,,,,,,,,,,
59894,,420,501,,,,,,,,,,,,,,,,,,,,,,,,,,
59898,,,820,1347,,,,,,,,,,,,,,1189,,,,,,,,,,,
59899,,,874,921,1144,933,1272,1129,1334,,,,,,,,,343,322,493,1255,1055,1012,,,,,,
59900,,,921,852,1225,1089,1124,1018,1337,,,,,,,,,183,627,690,362,1048,1493,,,,,,
59901,,57,47,90,24,35,30,50,36,49,44,,,,,,71,75,10,243,522,780,754,604,590,,,,
59903,,,308,268,458,312,581,395,548,,531,664,,,,,,116,218,226,853,264,720,,,1335,,,
59906,,924,923,1088,1039,,,,,,,,,,,,624,316,944,,,,,,,,,,
59908,,33,101,100,181,143,209,192,247,155,,,,,,,,,68,57,174,146,199,154,,,,,
59913,,,,126,161,150,229,287,306,,,,,,,,,,132,738,676,1348,556,,,,,,
59914,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,
59915,,,,,179,,,,,,,,,,,,,,,,,,,,,,,,
59916,,,,,624,452,756,689,1055,,,,,,,,,,,273,803,840,1221,,,,,,
59918,,,,134,528,456,1056,893,,,,,,,,,,,,,,,,,,,,,
59920,,,,398,,,,,,,,,,,,,,,,,,,,,,,,,
59922,,,,198,214,,,,,,,,,,,,,,,,,,,,,,,,
59925,,,,,80,127,125,192,160,,211,280,261,,,,,,,67,121,173,113,,,241,128,,
59927,,80,247,80,136,93,140,94,139,86,134,188,,,,,86,6,127,117,394,280,737,141,531,1317,,,
59928,,84,174,,,,,,,,,,,,,,75,,,,,,,,,,,,
59929,,406,,,,,,,,,,,,,,,,,,,,,,,,,,,
59930,,89,101,188,,,,,,,,,,,,,,,,,,,,,,,,,
59932,,,1049,,,,,,,,,,,,,,,,,,,,,,,,,,
59938,,887,,,,,,,,,,,,,,,,,,,,,,,,,,,
59948,,,60,,,,221,,,,,,,,,,,,,,,,,,,,,,
59952,,912,,,,,,,,,,,,,,,,,,,,,,,,,,,
59953,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,
59954,,202,216,,,,,,,,,,,,,,,,,,,,,,,,,,
59956,,1334,,,,,,,,,,,,,,,,,,,,,,,,,,,
59958,,951,,,,,,,,,,,,,,,,,,,,,,,,,,,
59959,,912,,,,,,,,,,,,,,,,,,,,,,,,,,,
59965,,,,331,348,932,,,,,,,,,,,,,200,646,,,,,,,,,
59966,,,,1855,,,,,,,,,,,,,,,,,,,,,,,,,
59969,,,,,49,128,108,215,205,,,343,362,,,,,,,,,,,,,,,,
59970,,,,522,581,,,,,,,,,,,,,,584,,,,,,,,,,
59971,,,,7,6,17,12,21,10,23,22,36,39,70,76,,,,9,19,31,13,24,96,76,142,160,269,256
59972,,,,773,,,,,,,,,,,,,,,,,,,,,,,,,
59976,,,,74,272,139,219,192,217,139,288,275,280,233,,,,,156,54,102,373,90,334,405,830,314,731,
59979,,,,403,340,674,588,,,,,,,,,,,,118,340,496,,,,,,,,
59980,,63,,187,,,,,,,,,,,,,,,,,,,,,,,,,
59985,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
59986,,,,268,501,,,,,,991,733,,,,,,,276,,,,,,,291,,,
59988,,304,739,542,1124,996,1216,1093,1418,,,,,,,,445,145,1080,725,785,1025,1487,,,,,,
59989,,560,580,977,984,1050,,,,,,,,,,,411,530,982,370,,,,,,,,,
59994,,912,,,,,,,,,,,,,,,,,,,,,,,,,,,
59997,,,,,188,450,296,700,670,,,,,,,,,,,419,232,959,805,,,,,,
59999,,,,,169,389,247,509,423,,,,,,,,,,,317,226,813,645,,,,,,
60000,,,,185,200,,,,,,,,,,,,,,96,,,,,,,,,,
60006,,,,,884,1401,834,1089,817,,,,,,,,,,,1002,93,1025,382,,,,,,
60013,,,485,569,1271,1236,1722,1408,,,,,,,,,,,,,,,,,,,,,
60016,,550,845,,,,,,,,,,,,,,1345,,,,,,,,,,,,
60019,,828,1322,,,,,,,,,,,,,,563,,,,,,,,,,,,
60023,,,908,987,,,,,,,,,,,,,,423,,,,,,,,,,,
60024,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,
60031,,397,,,,,,,,,,,,,,,,,,,,,,,,,,,
60032,,38,108,46,65,51,77,105,,,,,,,,,73,16,51,236,334,954,,,,,,,
60034,,797,791,,,,,,,,,,,,,,267,,,,,,,,,,,,
60035,,,,,,,1589,,,,,,,,,,,,,,,,,,,,,,
60036,,405,704,614,606,560,569,493,,,,,,,,,661,370,190,894,358,649,,,,,,,
60037,,268,619,620,1099,821,1137,813,809,,,,,,,,368,343,1004,391,1117,289,318,,,,,,
60042,,,,,869,,,,,,,,,,,,,,,,,,,,,,,,
60045,,632,,,,,,,,,,,,,,,,,,,,,,,,,,,
60047,,339,679,699,,,,,,,,,,,,,210,385,,,,,,,,,,,
60050,,687,623,1279,1144,1454,,1681,1582,,,,,,,,250,944,718,953,,,1260,,,,,,
60054,,772,,,,,,,,,,,,,,,,,,,,,,,,,,,
60055,,284,379,834,272,259,151,221,193,203,188,,,,,,193,279,7,64,150,644,818,350,444,,,,
60056,,,,,,427,676,698,,,,,,,,,,,,,1702,1356,,,,,,,
60060,,908,,,,,,,,,,,,,,,,,,,,,,,,,,,
60063,,,,,65,54,119,126,237,,193,112,,,,,,,,259,766,877,1169,,,271,,,
60069,,,,1420,,,,,,,,,,,,,,,,,,,,,,,,,
60070,,227,446,246,457,304,379,365,474,308,,,,,,,210,69,674,292,314,959,1012,247,,,,,
60071,,,,3,10,4,10,4,13,6,12,6,24,16,,,,,125,28,203,134,624,257,326,622,1321,1000,
60072,,127,130,159,631,570,1147,1063,,,,,,,,,,,,,,,,,,,,,
60073,,128,134,,,,,,,,,,,,,,,,,,,,,,,,,,
60074,,126,128,158,171,532,483,1048,939,,1231,1727,,,,,,,,,,,,,,,,,
60077,,308,691,,,,,,,,,,,,,,311,,,,,,,,,,,,
60078,,109,404,453,1041,849,1147,,,,,,,,,,99,187,560,293,620,,,,,,,,
60079,,74,51,299,257,542,387,565,,,,,,,,,17,201,152,340,292,465,,,,,,,
60085,,885,,,,,,,,,,,,,,,,,,,,,,,,,,,
60086,,,798,1217,599,830,,,,,,,,,,,,377,40,877,,,,,,,,,
60088,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,
60089,,,23,75,65,,,,,,,,308,,,,,37,29,,,,,,,,,,
60090,,,329,,,,,,,,,,,,,,,,,,,,,,,,,,
60091,,31,100,101,157,98,103,117,,,,,,,,,47,,,21,36,183,,,,,,,
60101,,727,1116,1437,,,,,,,,,,,,,526,969,,,,,,,,,,,
60103,,,408,374,334,385,,,,,,,,,,,,343,34,1045,,,,,,,,,
60106,,,,,,,515,800,692,574,693,876,778,,,,,,,,,672,653,419,302,767,721,,
60107,,,15,12,5,2,2,4,8,,,,,,,,,4,3,1,12,86,94,,,,,,
60108,,,225,372,214,308,350,557,569,485,493,,,,,,,172,101,344,1008,977,1200,158,313,,,,
60112,,603,638,,,,,,,,,,,,,,429,,,,,,,,,,,,
60113,,509,634,591,826,600,782,789,,,,,,,,,181,522,920,311,1085,1344,,,,,,,
60114,,,135,233,141,277,190,426,,,,,,,,,,161,179,584,307,1355,,,,,,,
60117,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,
60118,,50,40,13,7,17,8,18,7,11,9,14,13,31,34,,32,3,7,26,39,135,96,301,281,434,651,1368,1081
60120,,,49,23,106,,,,,,,,,,,,,7,128,,,,,,,,,,
60121,,,67,43,52,35,67,56,95,77,,,,,,,,22,20,73,197,107,257,122,,,,,
60131,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,
60132,,,,1855,,,,,,,,,,,,,,,,,,,,,,,,,
60138,,258,506,513,385,223,300,273,449,,,,,,,,205,428,14,129,475,793,1569,,,,,,
60140,,,143,240,128,203,129,226,159,,,,,,,,,237,119,792,259,1634,481,,,,,,
60143,,367,569,542,526,492,786,624,849,,,,,,,,65,326,70,764,1279,501,1345,,,,,,
60148,,366,,,,,,,,,,,,,,,,,,,,,,,,,,,
60152,,,,71,100,68,109,81,108,103,108,148,,,,,,,49,171,361,457,600,734,297,1285,,,
60156,,,,2220,2007,,,,,,,,,,,,,,772,,,,,,,,,,
60157,,,,138,413,352,,,,,,,,,,,,,569,372,,,,,,,,,
60160,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,
60161,,,126,153,,,,,,,,,,,,,,,,,,,,,,,,,
60162,,,43,113,,,,,,,,,,,,,,,,,,,,,,,,,
60165,,,99,133,104,250,135,266,181,249,319,462,,,,,,40,,77,51,266,175,492,320,584,,,
60167,,128,47,130,137,338,319,594,585,,806,,,,,,25,217,582,1025,661,1344,1088,,,,,,
60173,,198,489,467,766,720,900,443,547,344,,,,,,,415,365,635,846,638,26,975,145,,,,,
60174,,489,1018,,,,,,,,,,,,,,892,,,,,,,,,,,,
60175,,814,,,,,,,,,,,,,,,,,,,,,,,,,,,
60176,,505,563,,,,,,,,,,,,,,483,,,,,,,,,,,,
60177,,,1534,2310,,,,,,,,,,,,,,,,,,,,,,,,,
60179,,,15,14,27,27,50,47,,,70,79,,,,,,52,27,124,112,113,,,,207,,,
60182,,386,567,492,,,,,,,,,,,,,335,396,,,,,,,,,,,
60186,,1152,1289,,,,,,,,,,,,,,873,,,,,,,,,,,,
60190,,,88,90,134,,,,,,,,,,,,,99,130,,,,,,,,,,
60191,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,
60195,,478,550,418,,,,,,,,,,,,,417,216,,,,,,,,,,,
60199,,,,,651,1021,,,,,,,,,,,,,,815,,,,,,,,,
60200,,53,35,78,,134,148,,,,,,,,,,109,469,,,1032,,,,,,,,
60202,,,,335,815,,,,,,,,,,,,,,571,,,,,,,,,,
60203,,,147,111,223,198,,,,,,,,,,,,115,235,365,,,,,,,,,
60204,,,1294,1383,1816,1845,,,,,,,,,,,,516,1278,1427,,,,,,,,,
60206,,,33,65,,,,,,142,,,,,,,,49,,,,,,,,,,,
60214,,,,902,,1069,891,,,,,,,,,,,,,,541,,,,,,,,
60216,,,59,127,125,183,159,,,,,,,,,,,112,96,164,149,,,,,,,,
60217,,103,343,322,,,,,,,,,,,,,491,439,,,,,,,,,,,
60227,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,
60228,,859,1392,,,,,,,,,,,,,,618,,,,,,,,,,,,
60234,,235,494,510,,,,,,,,,,,,,250,444,,,,,,,,,,,
60235,,,,,,1122,,,,,,,,,,,,,,,,,,,,,,,
60244,,,93,112,263,125,380,229,388,224,502,490,736,691,,,,25,56,43,540,140,530,345,495,840,1217,951,
60246,,,,,,892,1126,711,560,,541,446,,,,,,,,,470,203,37,,,655,,,
60248,,,,,721,,,,,,,,,,,,,,,,,,,,,,,,
60251,,,,,806,1145,823,883,641,555,670,,,,,,,,,657,366,388,316,478,465,,,,
60255,,329,233,,,,,,,,,,,,,,278,,,,,,,,,,,,
60258,,1449,1198,1674,1573,,,,,,,,,,,,319,1161,1052,,,,,,,,,,
60259,,,,1232,,,,,,,,,,,,,,,,,,,,,,,,,
60264,,1082,1340,,,,,,,,,,,,,,574,,,,,,,,,,,,
60266,,1344,1800,,,,,,,,,,,,,,,,,,,,,,,,,,
60267,,,,1855,,,,,,,,,,,,,,,,,,,,,,,,,
60269,,874,949,1583,1513,,,,,,,,,,,,,,820,,,,,,,,,,
60271,,,,,342,,,,,,,,,,,,,,,,,,,,,,,,
60272,,,,,663,,,,,,,,,,,,,,,,,,,,,,,,
60278,,,,,187,178,,,,,,,,,,,,,,174,,,,,,,,,
60284,,2090,2151,,,,,,,,,,,,,,,,,,,,,,,,,,
60288,,396,,,,,,,,,,,,,,,,,,,,,,,,,,,
60290,,,1330,,,,,,,,,,,,,,,,,,,,,,,,,,
60293,,,,,,,69,73,33,60,28,40,25,60,56,,,,,,,13,84,478,129,393,443,1358,1025
60299,,713,845,1406,,,,,,,,,,,,,505,553,,,,,,,,,,,
60300,,768,745,1375,1249,,,,,,,,,,,,272,841,731,,,,,,,,,,
60302,,,,,,,716,918,857,695,933,,,,,,,,,,,828,1012,733,521,,,,
60303,,,24,65,40,59,39,,,,,,,,,,,22,11,35,34,,,,,,,,
60304,,869,,,,,,,,,,,,,,,,,,,,,,,,,,,
60307,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,
60308,,,601,710,769,692,1174,1343,,,,,,,,,,949,335,701,1826,1723,,,,,,,
60309,,,,1235,,,,,,,,,,,,,,,,,,,,,,,,,
