ID,2012 pořadí kategorie,2013 pořadí kategorie,2014 pořadí kategorie,2015 pořadí kategorie,2016 pořadí kategorie,2017 pořadí kategorie,2018 pořadí kategorie,2019 pořadí kategorie,2020 pořadí kategorie,2021 pořadí kategorie,2022 pořadí kategorie,2023 pořadí kategorie,2024 pořadí kategorie,2025 pořadí kategorie,2026 pořadí kategorie,2013 Pořadí skokani kategorie,2014 Pořadí skokani kategorie,2015 Pořadí skokani kategorie,2016 Pořadí skokani kategorie,2017 Pořadí skokani kategorie,2018 Pořadí skokani kategorie,2019 Pořadí skokani kategorie,2020 Pořadí skokani kategorie,2021 Pořadí skokani kategorie,2022 Pořadí skokani kategorie,2023 Pořadí skokani kategorie,2024 Pořadí skokani kategorie,2025 Pořadí skokani kategorie,2026 Pořadí skokani kategorie
31061,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31091,,70,55,95,89,110,,144,160,,,,,,,,57,112,138,124,,,256,,,,,,
31094,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31108,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31219,18,26,21,,,,,,,,,,,,,168,123,,,,,,,,,,,,
31260,17,22,14,,,,,,,,,,,,,582,511,,,,,,,,,,,,
31266,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31269,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31306,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31435,415,399,,,,,,,,,,,,,,723,,,,,,,,,,,,,
31439,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31582,13,14,11,,,,,,,,,,,,,222,683,,,,,,,,,,,,
31753,138,143,,,,,,,,,,,,,,1086,,,,,,,,,,,,,
31883,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32097,3,12,13,30,,,,,,,,,,,,27,41,44,,,,,,,,,,,
32099,19,28,24,,,,,,,,,,,,,856,1155,,,,,,,,,,,,
32106,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32148,117,130,,,,,,,,,,,,,,1238,,,,,,,,,,,,,
32220,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32263,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32272,118,77,,,,,,,,,,,,,,244,,,,,,,,,,,,,
32273,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32274,,430,,,,,,,,,,,,,,,,,,,,,,,,,,,
32321,14,15,,,,,,,,,,,,,,582,,,,,,,,,,,,,
32354,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32425,8,10,8,,,,,,,,,,,,,115,179,,,,,,,,,,,,
32434,42,53,63,56,,,,,,,,,,,,215,142,170,,,,,,,,,,,
32458,247,240,,,,,,,,,,,,,,837,,,,,,,,,,,,,
32585,41,45,,,,,,,,,,,,,,200,,,,,,,,,,,,,
32604,6,9,,,,,,,,,,,,,,472,,,,,,,,,,,,,
32621,530,479,,,,,,,,,,,,,,556,,,,,,,,,,,,,
32635,68,75,57,,,,,,,,,,,,,85,54,,,,,,,,,,,,
32643,,683,,,,,,,,,,,,,,,,,,,,,,,,,,,
32650,50,56,,,,,,,,,,,,,,1086,,,,,,,,,,,,,
32695,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32703,737,,1053,,,,,,,,,,,,,,,,,,,,,,,,,,
32769,609,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32782,176,157,,,,,,,,,,,,,,698,,,,,,,,,,,,,
32965,289,331,,,,,,,,,,,,,,1322,,,,,,,,,,,,,
33023,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33028,146,284,298,,,,,,,,,,,,,1322,1236,,,,,,,,,,,,
33095,38,49,,,,,,,,,,,,,,1300,,,,,,,,,,,,,
33107,4,4,11,9,22,21,33,43,58,,,,,,,10,49,82,105,146,146,224,183,,,,,,
33108,152,185,,,,,,,,,,,,,,1332,,,,,,,,,,,,,
33214,90,89,100,,,,,,,,,,,,,55,257,,,,,,,,,,,,
33334,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33366,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33401,753,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33429,77,91,64,151,,,,,,,,,,,,26,333,1152,,,,,,,,,,,
33481,37,31,,,,,,,,,,,,,,556,,,,,,,,,,,,,
33482,24,23,,,,,,,,,,,,,,77,,,,,,,,,,,,,
33484,1,1,2,2,,,,,,,,,,,,809,1413,618,,,,,,,,,,,
33486,1,3,1,2,,,,,,,,,,,,76,215,139,,,,,,,,,,,
33571,1203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33609,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33613,353,381,,,,,,,,,,,,,,1164,,,,,,,,,,,,,
33657,371,259,,,,,,,,,,,,,,175,,,,,,,,,,,,,
33727,20,13,20,18,34,53,,,,,,,,,,135,625,851,1159,1817,,,,,,,,,
33728,882,796,,,,,,,,,,,,,,495,,,,,,,,,,,,,
33737,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33852,496,426,,,,,,,,,,,,,,415,,,,,,,,,,,,,
33865,24,42,,,,,,,,,,,,,,874,,,,,,,,,,,,,
33869,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33895,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33999,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34000,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34060,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34084,221,169,,,,,,,,,,,,,,367,,,,,,,,,,,,,
34108,1152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34109,371,370,,,,,,,,,,,,,,874,,,,,,,,,,,,,
34120,148,86,,,,,,,,,,,,,,158,,,,,,,,,,,,,
34123,1385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34129,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34137,293,367,351,,,,,,,,,,,,,275,924,,,,,,,,,,,,
34173,795,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34200,221,245,,,,,,,,,,,,,,1215,,,,,,,,,,,,,
34203,1004,903,,,,,,,,,,,,,,495,,,,,,,,,,,,,
34311,164,116,249,181,260,245,415,421,,,,,,,,138,428,189,596,856,1743,1108,,,,,,,
34313,19,115,56,197,116,134,78,129,198,202,206,,,,,164,41,464,157,56,227,959,1265,277,527,,,,
34316,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34344,132,177,187,245,218,,,,,,,,,,,125,210,215,158,,,,,,,,,,
34345,341,343,,,,,,,,,,,,,,144,,,,,,,,,,,,,
34346,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34377,,457,,,,,,,,,,,,,,,,,,,,,,,,,,,
34424,27,54,47,,,,,,,,,,,,,1164,1036,,,,,,,,,,,,
34425,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34446,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34447,64,73,,,,,,,,,,,,,,1247,,,,,,,,,,,,,
34468,56,50,,,,,,,,,,,,,,636,,,,,,,,,,,,,
34478,20,38,26,,,,,,,,,,,,,1322,644,,,,,,,,,,,,
34519,102,75,,,,,,,,,,,,,,388,,,,,,,,,,,,,
34521,10,13,14,25,,,,,,,,,,,,131,932,1479,,,,,,,,,,,
34523,60,105,93,,139,,,,,,,,,,,131,99,,,,,,,,,,,,
34526,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34546,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34550,475,519,,,,,,,,,,,,,,1178,,,,,,,,,,,,,
34572,515,543,,,,,,,,,,,,,,1073,,,,,,,,,,,,,
34607,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34710,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34716,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34783,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34793,9,9,,,,,,,,,,,,,,101,,,,,,,,,,,,,
34857,932,791,,,,,,,,,,,,,,258,,,,,,,,,,,,,
34940,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34946,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34947,230,278,,,,,,,,,,,,,,1336,,,,,,,,,,,,,
34948,112,123,151,,,,,,,,,,,,,213,1427,,,,,,,,,,,,
34970,77,103,65,,,,,,,,,,,,,568,293,,,,,,,,,,,,
35039,277,582,,,,,,,,,,,,,,1370,,,,,,,,,,,,,
35041,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35043,204,,323,,,,,,,,,,,,,,,,,,,,,,,,,,
35082,261,220,,,,,,,,,,,,,,528,,,,,,,,,,,,,
35112,30,44,32,,,,,,,,,,,,,682,774,,,,,,,,,,,,
35128,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35137,59,129,86,122,181,,,,,,,,,,,986,209,991,1824,,,,,,,,,,
35172,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35173,313,,364,,,,,,,,,,,,,,,,,,,,,,,,,,
35179,598,546,,,,,,,,,,,,,,556,,,,,,,,,,,,,
35219,34,,38,30,,,,,,,,,,,,,,113,,,,,,,,,,,
35225,72,85,,,,,,,,,,,,,,174,,,,,,,,,,,,,
35264,78,95,,172,,,,,,,,,,,,1020,,,,,,,,,,,,,
35277,141,164,184,,,,,,,,,,,,,128,269,,,,,,,,,,,,
35291,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35300,554,519,626,,,,,,,,,,,,,80,1438,,,,,,,,,,,,
35311,,,916,823,,,,,,,,,,,,,,490,,,,,,,,,,,
35313,857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35317,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35355,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35364,606,835,806,,,,,,,,,,,,,768,845,,,,,,,,,,,,
35370,,,710,,,,,,,,,,,,,,,,,,,,,,,,,,
35373,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35396,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35397,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35424,176,271,283,,,,,,,,,,,,,837,1253,,,,,,,,,,,,
35438,1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35461,272,307,420,705,,,,,,,,,,,,931,644,1596,,,,,,,,,,,
35511,124,89,,,,,,,,,,,,,,383,,,,,,,,,,,,,
35513,264,180,,,,,,,,,,,,,,244,,,,,,,,,,,,,
35554,986,931,,,,,,,,,,,,,,438,,,,,,,,,,,,,
