Typ,Kategorie,STR minimum,Pořadí,ID,Hráč,Pohlaví,Oddíl,Sezóna,STR,STR změna
mover,,1200,3,71686,Slámová Andrea,Z,"TSM Kladno, z.s.",2022,1557,297
mover,,1600,1,58253,Wasik Petr,M,"TJ Orion Praha, z.s.",2026,2108,325
mover,,1600,2,71593,Lebeda Lukáš,M,"TTC ELIZZA PRAHA, z.s.",2023,1933,265
mover,,1600,3,63326,Nechyba Radim,M,KST Apollo Ústí nad Labem z.s.,2022,1892,263
mover,,1600,1,74016,Kodet Hanka,Z,"TJ Slavoj Praha, spolek",2023,1842,233
mover,,1600,2,74016,Kodet Hanka,Z,Sportovní klub stolního tenisu Havířov z.s.,2025,2048,191
mover,,1600,3,63222,Pařízková Monika,Z,SKST Hodonín z.s.,2022,1844,144
mover,,2000,1,64710,Kadlec Vít,M,Tělovýchovná jednota Ostrava,2022,2210,155
mover,,2000,2,50716,Onderka František,M,Tělovýchovná jednota Ostrava,2019,2183,139
mover,,2000,3,56575,Štalzer Adam,M,Tělovýchovná jednota Ostrava,2022,2235,137
mover,,2000,1,85872,Chu Yi-Ching,Z,"TT Moravský Krumlov, z.s.",2025,2128,61
mover,,2000,2,372,Ševčíková Markéta,Z,SKST Hodonín z.s.,2025,2093,55
mover,,2000,3,85795,Michalak Aleksandra,Z,"SK Dobré, z.s.",2025,2058,51
