Sezóna,Pohlaví,Kraj,Kategorie,Počet hráčů,Počet skokanů 800,Počet skokanů 1200,Počet skokanů 1600,Počet skokanů 2000
2014,M,Středočeský SST,dospělí,1821,1544,1098,200,3
2014,Z,KSST Jihomoravský,dospělí,159,105,58,19,3
2014,Z,KSST Jihočeský,dospělí,68,53,26,,
2014,Z,KSST Karlovarský,dospělí,26,12,3,,
2014,Z,KSST Kralovéhradecký,dospělí,110,79,43,8,
2014,Z,KSST Liberecký,dospělí,41,28,13,,
2014,Z,KSST Olomoucký,dospělí,33,22,12,2,
2014,Z,KSST Pardubický,dospělí,60,49,29,1,
2014,Z,KSST Plzeňský,dospělí,85,64,33,,
2014,Z,KSST Vysočina,dospělí,35,28,17,2,
2014,Z,KSST Zlínský,dospělí,11,7,7,3,
2014,Z,KSST Ústecký,dospělí,23,10,10,1,
2014,Z,Moravskoslezský SST,dospělí,72,51,34,11,
2014,Z,Pražský SST,dospělí,146,126,65,9,
2014,Z,Středočeský SST,dospělí,97,79,48,5,
2015,M,KSST Jihomoravský,dospělí,2116,1828,1250,227,4
2015,M,KSST Jihočeský,dospělí,1091,912,614,81,1
2015,M,KSST Karlovarský,dospělí,224,192,155,30,3
2015,M,KSST Kralovéhradecký,dospělí,1276,1069,725,126,10
2015,M,KSST Liberecký,dospělí,661,474,333,65,5
2015,M,KSST Olomoucký,dospělí,834,713,509,98,
2015,M,KSST Pardubický,dospělí,782,691,501,95,4
2015,M,KSST Plzeňský,dospělí,829,728,523,74,
2015,M,KSST Vysočina,dospělí,1338,731,541,101,5
2015,M,KSST Zlínský,dospělí,567,87,79,31,2
2015,M,KSST Ústecký,dospělí,971,249,191,46,6
2015,M,Moravskoslezský SST,dospělí,1512,1097,881,229,12
2015,M,Pražský SST,dospělí,887,791,643,157,18
2015,M,Středočeský SST,dospělí,2222,1601,1117,218,1
2015,Z,KSST Jihomoravský,dospělí,138,104,56,18,3
2015,Z,KSST Jihočeský,dospělí,73,54,32,1,
2015,Z,KSST Karlovarský,dospělí,20,14,4,,
2015,Z,KSST Kralovéhradecký,dospělí,111,85,45,12,
2015,Z,KSST Liberecký,dospělí,53,33,11,,
2015,Z,KSST Olomoucký,dospělí,28,20,7,,
2015,Z,KSST Pardubický,dospělí,70,51,30,1,
2015,Z,KSST Plzeňský,dospělí,70,60,34,1,
2015,Z,KSST Vysočina,dospělí,56,27,15,1,
2015,Z,KSST Zlínský,dospělí,24,11,11,4,
2015,Z,KSST Ústecký,dospělí,52,20,14,2,
2015,Z,Moravskoslezský SST,dospělí,93,57,32,10,
2015,Z,Pražský SST,dospělí,148,126,65,10,
2015,Z,Středočeský SST,dospělí,117,86,54,6,
2016,M,KSST Jihomoravský,dospělí,2189,1817,1253,236,5
2016,M,KSST Jihočeský,dospělí,1134,961,642,84,2
2016,M,KSST Karlovarský,dospělí,251,194,148,30,4
2016,M,KSST Kralovéhradecký,dospělí,1333,1083,720,133,13
2016,M,KSST Liberecký,dospělí,660,571,371,75,5
2016,M,KSST Olomoucký,dospělí,818,683,484,101,
2016,M,KSST Pardubický,dospělí,768,656,481,94,6
2016,M,KSST Plzeňský,dospělí,811,699,507,85,1
2016,M,KSST Vysočina,dospělí,1301,1132,715,96,5
2016,M,KSST Zlínský,dospělí,747,498,408,105,2
2016,M,KSST Ústecký,dospělí,1000,805,564,105,6
2016,M,Moravskoslezský SST,dospělí,1495,1277,979,248,15
2016,M,Pražský SST,dospělí,899,772,625,159,16
2016,M,Středočeský SST,dospělí,2203,1869,1243,217,1
2016,Z,KSST Jihomoravský,dospělí,151,104,50,17,2
2016,Z,KSST Jihočeský,dospělí,77,54,35,1,
2016,Z,KSST Karlovarský,dospělí,42,17,3,,
2016,Z,KSST Kralovéhradecký,dospělí,118,85,48,10,
2016,Z,KSST Liberecký,dospělí,53,32,12,,
2016,Z,KSST Olomoucký,dospělí,30,19,9,,
2016,Z,KSST Pardubický,dospělí,75,53,29,1,
2016,Z,KSST Plzeňský,dospělí,69,58,36,1,
2016,Z,KSST Vysočina,dospělí,60,43,18,4,
2016,Z,KSST Zlínský,dospělí,37,19,14,2,
2016,Z,KSST Ústecký,dospělí,59,45,22,1,
2016,Z,Moravskoslezský SST,dospělí,85,64,39,9,
2016,Z,Pražský SST,dospělí,149,121,64,12,
2016,Z,Středočeský SST,dospělí,127,102,55,7,
2017,M,KSST Jihomoravský,dospělí,2169,1834,1252,252,10
2017,M,KSST Jihočeský,dospělí,1120,964,641,87,1
2017,M,KSST Karlovarský,dospělí,254,214,160,34,2
2017,M,KSST Kralovéhradecký,dospělí,1336,1096,725,141,12
2017,M,KSST Liberecký,dospělí,687,572,382,88,6
2017,M,KSST Olomoucký,dospělí,921,706,505,118,
2017,M,KSST Pardubický,dospělí,717,614,460,96,6
2017,M,KSST Plzeňský,dospělí,1017,704,508,91,1
2017,M,KSST Vysočina,dospělí,1350,1142,719,93,
2017,M,KSST Zlínský,dospělí,1042,635,481,105,2
2017,M,KSST Ústecký,dospělí,1012,849,580,96,2
2017,M,Moravskoslezský SST,dospělí,1495,1265,980,264,21
2017,M,Pražský SST,dospělí,912,796,643,179,14
2017,M,Středočeský SST,dospělí,2305,1869,1242,229,1
2017,Z,KSST Jihomoravský,dospělí,156,111,57,25,3
2017,Z,KSST Jihočeský,dospělí,74,54,32,,
2017,Z,KSST Karlovarský,dospělí,31,20,2,1,
2017,Z,KSST Kralovéhradecký,dospělí,126,86,49,12,
2017,Z,KSST Liberecký,dospělí,55,36,12,,
2017,Z,KSST Olomoucký,dospělí,43,23,14,,
2017,Z,KSST Pardubický,dospělí,73,53,28,,
2017,Z,KSST Plzeňský,dospělí,67,46,31,1,
2017,Z,KSST Vysočina,dospělí,60,43,24,4,
