ID,2013 Pořadí skokani,2013 Pořadí skokani kraj,2013 Pořadí skokani kategorie,2013 Pořadí skokani kraj kategorie,2014 Pořadí skokani,2014 Pořadí skokani kraj,2014 Pořadí skokani kategorie,2014 Pořadí skokani kraj kategorie,2015 Pořadí skokani,2015 Pořadí skokani kraj,2015 Pořadí skokani kategorie,2015 Pořadí skokani kraj kategorie,2016 Pořadí skokani,2016 Pořadí skokani kraj,2016 Pořadí skokani kategorie,2016 Pořadí skokani kraj kategorie,2017 Pořadí skokani,2017 Pořadí skokani kraj,2017 Pořadí skokani kategorie,2017 Pořadí skokani kraj kategorie,2018 Pořadí skokani,2018 Pořadí skokani kraj,2018 Pořadí skokani kategorie,2018 Pořadí skokani kraj kategorie,2019 Pořadí skokani,2019 Pořadí skokani kraj,2019 Pořadí skokani kategorie,2019 Pořadí skokani kraj kategorie,2020 Pořadí skokani,2020 Pořadí skokani kraj,2020 Pořadí skokani kategorie,2020 Pořadí skokani kraj kategorie,2021 Pořadí skokani,2021 Pořadí skokani kraj,2021 Pořadí skokani kategorie,2021 Pořadí skokani kraj kategorie,2022 Pořadí skokani,2022 Pořadí skokani kraj,2022 Pořadí skokani kategorie,2022 Pořadí skokani kraj kategorie,2023 Pořadí skokani,2023 Pořadí skokani kraj,2023 Pořadí skokani kategorie,2023 Pořadí skokani kraj kategorie,2024 Pořadí skokani,2024 Pořadí skokani kraj,2024 Pořadí skokani kategorie,2024 Pořadí skokani kraj kategorie,2025 Pořadí skokani,2025 Pořadí skokani kraj,2025 Pořadí skokani kategorie,2025 Pořadí skokani kraj kategorie,2026 Pořadí skokani,2026 Pořadí skokani kraj,2026 Pořadí skokani kategorie,2026 Pořadí skokani kraj kategorie
50696,1,1,1,1,1723,70,282,15,7959,329,524,15,860,31,295,9,2962,117,495,16,2572,88,,,5475,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50826,2,1,1,1,645,55,148,11,3718,283,257,25,16,2,15,2,4797,334,462,47,7968,548,755,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53737,3,1,3,1,5174,309,428,38,7499,459,699,57,4465,230,586,39,6454,334,,,6933,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52885,4,1,1,1,274,34,72,8,261,31,76,9,222,21,105,8,736,65,194,27,954,83,280,35,8980,613,559,54,399,41,221,25,1038,41,255,12,333,25,,,2856,223,,,3423,261,,,,,,,,,,
52892,5,2,3,2,5325,458,272,31,75,10,52,8,5130,344,472,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56502,6,1,5,1,255,37,105,25,4863,516,447,84,,,,,,,,,4815,332,617,57,595,20,,,,,,,,,,,,,,,,,,,,,,,,,,,7019,549,,
54719,6,3,5,3,1517,141,199,20,2994,227,376,35,7528,513,527,43,3559,251,529,52,1815,138,422,43,4710,331,,,,,,,,,,,,,,,,,,,,,,,3019,265,,,2370,207,,
52096,8,2,4,1,2368,350,103,17,644,119,166,27,371,58,137,25,3660,500,424,51,7484,984,541,70,4610,593,615,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43138,9,1,2,1,148,20,54,10,75,12,37,7,5238,529,295,58,2492,264,260,47,3819,383,439,77,,,,,,,,,4171,432,495,79,3863,398,,,6355,555,,,,,,,,,,,,,,
43233,10,1,,,7391,498,,,4615,284,,,3501,190,,,4329,246,,,1593,95,,,2044,129,,,6168,390,,,2233,158,,,1668,120,,,7015,492,,,2610,216,,,3846,259,,,2695,175,,
