ID,2012 pořadí kraj kategorie,2013 pořadí kraj kategorie,2014 pořadí kraj kategorie,2015 pořadí kraj kategorie,2016 pořadí kraj kategorie,2017 pořadí kraj kategorie,2018 pořadí kraj kategorie,2019 pořadí kraj kategorie,2020 pořadí kraj kategorie,2021 pořadí kraj kategorie,2022 pořadí kraj kategorie,2023 pořadí kraj kategorie,2024 pořadí kraj kategorie,2025 pořadí kraj kategorie,2026 pořadí kraj kategorie,2027 pořadí kraj kategorie,2013 Pořadí skokani kraj kategorie,2014 Pořadí skokani kraj kategorie,2015 Pořadí skokani kraj kategorie,2016 Pořadí skokani kraj kategorie,2017 Pořadí skokani kraj kategorie,2018 Pořadí skokani kraj kategorie,2019 Pořadí skokani kraj kategorie,2020 Pořadí skokani kraj kategorie,2021 Pořadí skokani kraj kategorie,2022 Pořadí skokani kraj kategorie,2023 Pořadí skokani kraj kategorie,2024 Pořadí skokani kraj kategorie,2025 Pořadí skokani kraj kategorie,2026 Pořadí skokani kraj kategorie,2027 Pořadí skokani kraj kategorie
58612,,22,36,40,,,,,,,,,,,,,,27,31,,,,,,,,,,,,
58621,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58624,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58628,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,
58630,,145,215,198,257,197,229,222,,,,,,,,,,80,151,178,102,185,209,,,,,,,,
58631,,116,194,159,187,149,179,187,,,,,,,,,,129,100,121,100,174,245,,,,,,,,
58632,,142,118,,,,,,,,,,,,,,,29,,,,,,,,,,,,,
58633,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58634,,64,78,,,,,,,,,,,,,,,9,,,,,,,,,,,,,
58635,,78,73,124,,,,,,,,,,,,,,25,68,,,,,,,,,,,,
58636,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58637,,15,13,45,30,53,54,92,87,,87,,,,,,,8,30,10,65,76,130,109,,,,,,,
58638,,14,,,117,,157,117,,,,,,,,,,,,,,,71,,,,,,,,
58639,,12,23,7,8,3,6,2,4,3,3,3,,,,,,8,3,3,15,39,70,143,73,64,82,,,,
58640,,17,21,9,8,6,9,12,23,12,,,,,,,,10,2,2,15,13,20,21,18,,,,,,
58642,,54,76,,,,,,,,,,,,,,,34,,,,,,,,,,,,,
58643,,59,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58645,,27,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58650,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58652,,87,81,98,97,116,,,,,,,,,,,,54,75,52,90,,,,,,,,,,
58653,,80,186,164,276,214,,,,,,,,,,,,83,115,,,,,,,,,,,,
58659,,,,,95,,,134,181,,,,,,,,,,,,,,,,,,,,,,
58660,,,6,7,11,4,10,,,,,,,,,,,,10,15,2,58,,,,,,,,,
58661,,66,70,96,,,,,,,,,,,,,,58,72,,,,,,,,,,,,
58666,,,,,2,7,5,,,,,,,,,,,,,,20,9,,,,,,,,,
58669,,,11,2,8,7,,,14,9,,,,,,,,,3,4,14,,,,5,,,,,,
58670,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58671,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58674,,,24,25,24,26,28,26,,,,,,,,,,,21,16,25,25,29,,,,,,,,
58675,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58676,,,15,6,19,17,29,,,,,,,,,,,,9,19,16,24,,,,,,,,,
58678,,,254,208,,,,,,,,,,,,,,,144,,,,,,,,,,,,
58681,,39,55,46,57,64,79,74,,,,,,,,,,25,40,37,84,73,81,,,,,,,,
58682,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58683,,,113,158,,,,,,,,,,,,,,,148,,,,,,,,,,,,
58684,,,10,8,14,,47,36,56,,,,,,,,,,4,17,,,36,87,,,,,,,
58686,,,33,63,,,,,,,,,,,,,,,177,,,,,,,,,,,,
58687,,72,129,,,,,,,,,,,,,,,133,,,,,,,,,,,,,
58688,,90,105,87,,,,,,,,,,,,,,43,75,,,,,,,,,,,,
58698,,4,6,7,11,,,12,,,,,,,,,,,,,,,,,,,,,,,
58699,,89,93,142,,,,,,,,,,,,,,84,90,,,,,,,,,,,,
58700,,113,141,,,,,,,,,,,,,,,108,,,,,,,,,,,,,
58713,,,,1,12,7,11,3,10,7,9,7,8,12,,,,,,14,2,13,2,34,24,22,45,44,86,,
58717,,10,15,24,,,30,27,22,23,39,,,,,,,7,16,,,,1,29,14,53,,,,,
58724,,,2,1,1,1,1,1,1,1,1,12,1,,,,,,2,1,1,8,1,9,12,8,82,9,,,
58727,,30,53,,,,,,,,,,,,,,,42,,,,,,,,,,,,,
58732,,215,255,,,,,,,,,,,,,,,176,,,,,,,,,,,,,
58737,,35,24,54,46,35,43,57,,,,,,,,,,16,74,31,12,44,47,,,,,,,,
58738,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58739,,60,79,85,116,59,,,,,,,,,,,,54,103,107,3,,,,,,,,,,
58740,,,153,181,,,,,,,,,,,,,,,203,,,,,,,,,,,,
58741,,,41,61,48,61,63,,,,,,,,,,,,47,55,55,103,,,,,,,,,
58742,,,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58744,,,50,75,64,113,93,174,,,,,,,,,,,35,72,175,54,207,,,,,,,,
58746,,,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58749,,,26,68,56,,,,,,,,,,,,,,94,79,,,,,,,,,,,
58752,,110,117,100,160,155,,,,,,,,,,,,49,32,210,164,,,,,,,,,,
58755,,48,74,47,79,,,,,,,,,,,,,81,10,109,,,,,,,,,,,
58756,,75,103,74,90,61,81,64,,,,,,,,,,44,19,49,43,137,64,,,,,,,,
58757,,,,,,127,,,171,80,174,,,,,,,,,,,,,,7,113,,,,,
58758,,44,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58759,,44,57,35,39,33,47,56,,,,,,,,,,25,23,18,136,137,169,,,,,,,,
58761,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
58767,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58768,,,6,28,19,24,,,,,,,,,,,,,12,5,15,,,,,,,,,,
58771,,,126,119,194,147,,,,,,,,,,,,,,,,,,,,,,,,,
58772,,,,22,86,,,,,,,,,,,,,,,,,,,,,,,,,,
58773,,21,38,41,72,,,,,,,,,,,,,,20,39,,,,,,,,,,,
58774,,,61,64,124,,,,,,,,,,,,,,,,,,,,,,,,,,
58775,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,
58781,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58784,,,8,11,8,,,,,,,,,,,,,,6,5,,,,,,,,,,,
58787,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58791,,75,52,57,42,,,,,,,,,,,,,40,42,19,,,,,,,,,,,
58792,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58793,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58794,,3,4,3,3,2,4,,,,,,,,,,,3,1,4,3,10,,,,,,,,,
58795,,23,27,22,18,26,,,,,,,,,,,,34,24,37,160,,,,,,,,,,
58798,,18,36,44,91,73,,,,,,,,,,,,10,23,50,42,,,,,,,,,,
58801,,,78,,,,,,53,,,,,,,,,,,,,,,,,,,,,,
58802,,,6,4,3,8,6,4,8,,1,,,,,,,,1,1,16,85,43,171,,,,,,,
58803,,57,68,,,,,,,,,,,,,,,86,,,,,,,,,,,,,
58807,,164,192,249,210,224,201,218,219,,,,,,,,,,175,84,109,118,157,218,,,,,,,
58809,,124,77,66,,,,,,,,,,,,,,2,54,,,,,,,,,,,,
58812,,7,7,16,16,19,16,21,18,,,,,,,,,4,5,6,23,12,20,18,,,,,,,
58813,,8,,2,13,11,17,11,25,,,,,,,,,,,6,15,9,5,42,,,,,,,
58814,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58815,,105,97,,,,,,,,,,,,,,,96,,,,,,,,,,,,,
58816,,165,118,144,112,152,149,,,,,,,,,,,25,112,93,188,191,,,,,,,,,
58818,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58821,,134,141,187,,,,,,,,,,,,,,63,42,,,,,,,,,,,,
58825,,8,6,9,3,4,3,7,,,,,,,,,,4,1,1,9,8,24,,,,,,,,
58826,,,,,4,2,7,5,8,,8,,,,,,,,,,2,5,5,8,,,,,,,
58831,,72,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58838,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58841,,90,140,169,200,189,192,180,,,,,,,,,,85,80,113,92,85,125,,,,,,,,
58846,,,,,,,,16,10,13,,,,,,,,,,,,,,11,21,,,,,,
58847,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,
58851,,8,,19,,38,45,35,37,,36,34,,,,,,,,,,34,7,34,,,55,,,,
58852,,88,83,96,99,115,,,,,,,,,,,,58,62,58,84,,,,,,,,,,
58853,,106,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58854,,140,167,203,,,,,,,,,,,,,,70,97,,,,,,,,,,,,
58855,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58863,,7,16,9,17,18,,28,23,,23,27,,,,,,6,7,20,19,,,10,,,75,,,,
58865,,33,24,33,,,,,,,,,,,,,,11,33,,,,,,,,,,,,
58866,,73,54,85,,,,,,,,,,,,,,34,133,,,,,,,,,,,,
58867,,103,73,100,59,99,98,,,,,,,,,,,68,86,19,224,176,,,,,,,,,
58874,,82,55,,,,,,,,,,,,,,,30,,,,,,,,,,,,,
58880,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58881,,155,148,,,,,,,,,,,,,,,70,,,,,,,,,,,,,
58889,,100,116,114,,,,,,,,,,,,,,48,72,,,,,,,,,,,,
58895,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
58897,,43,31,59,,52,51,88,,,,,,,,,,12,72,,,106,172,,,,,,,,
58899,,46,78,150,199,,,,,,,,,,,,,,,,,,,,,,,,,,
58900,,236,156,,,,,,,,,,,,,,,28,,,,,,,,,,,,,
58901,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58904,,39,93,82,146,,,,,,,,,,,,,85,109,140,,,,,,,,,,,
58913,,92,87,,151,214,183,232,218,,,,,,,,,39,,,127,102,175,138,,,,,,,
58914,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58918,,63,107,51,74,36,75,57,74,39,,,,,,,,28,15,62,24,188,87,121,10,,,,,,
58919,,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58920,,,6,11,6,11,7,13,,,,,,,,,,,9,4,10,4,22,,,,,,,,
58927,,,,9,18,13,28,24,28,,41,42,,,,,,,,22,23,35,52,17,,,78,,,,
58932,,6,8,9,,,,,,,,,,,,,,8,5,,,,,,,,,,,,
58933,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58934,,20,24,26,32,30,35,40,,,,,,,,,,7,19,63,100,46,133,,,,,,,,
58947,,,,23,37,24,41,55,60,,,,,,,,,,,52,43,159,145,87,,,,,,,
58948,,,,15,7,14,7,30,20,,25,29,30,,,,,,,8,14,30,64,60,,,96,121,,,
58949,,,,74,50,109,,,,,,,,,,,,,,42,119,,,,,,,,,,
58950,,77,,,,78,54,,,,,,,,,,,,,,,1,,,,,,,,,
58957,,59,117,86,134,116,,,,,,,,,,,,197,90,274,133,,,,,,,,,,
58960,,10,10,,,,,,,,,,,,,,,9,,,,,,,,,,,,,
58962,,33,68,57,,,,,,,,,,,,,,51,40,,,,,,,,,,,,
58969,,94,89,,,,,,,,,,,,,,,66,,,,,,,,,,,,,
58974,,,41,42,,,,,,,,,,,,,,,39,,,,,,,,,,,,
58975,,57,65,98,,,,,,,,,,,,,,30,72,,,,,,,,,,,,
58979,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58980,,27,27,39,32,41,38,43,41,,,,,,,,,24,34,13,33,32,25,25,,,,,,,
58981,,42,46,37,44,39,,,,,,,,,,,,30,41,28,23,,,,,,,,,,
58983,,116,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58984,,22,14,57,47,90,54,81,,,,,,,,,,,,,,,,,,,,,,,
58985,,16,12,14,41,28,49,,,,,,,,,,,4,,,,28,,,,,,,,,
58996,,331,352,,,,,,,,,,,,,,,141,,,,,,,,,,,,,
58997,,214,323,,,,,,,,,,,,,,,155,,,,,,,,,,,,,
58998,,,,2,3,2,2,1,2,1,1,,,,,,,,,1,1,4,1,3,3,2,,,,,
59006,,52,43,82,88,129,,,,,,,,,,,,20,90,86,152,,,,,,,,,,
59007,,72,66,121,,,,,,,,,,,,,,29,72,,,,,,,,,,,,
59010,,23,12,8,,25,26,22,,,,,,,,,,12,6,,,22,30,,,,,,,,
59021,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59027,,102,96,,,,,,,,,,,,,,,75,,,,,,,,,,,,,
59028,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59029,,23,19,50,24,48,23,43,29,35,30,,,,,,,12,27,22,65,13,69,59,82,84,,,,,
59031,,,,,,76,64,70,63,,73,,,,,,,,,,,90,45,110,,,,,,,
59037,,,6,11,6,10,10,13,9,11,15,14,14,,,,,,13,8,13,11,11,20,19,16,42,53,,,
59039,,,,98,134,137,166,152,,,,,,,,,,,,95,129,141,139,,,,,,,,
59045,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59047,,,,71,72,129,98,141,,,,,,,,,,,,,,,,,,,,,,,
59048,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59050,,105,174,178,209,,,182,,,,,,,,,,125,196,125,,,,,,,,,,,
59059,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59066,,,,,18,23,40,26,43,17,31,20,,36,,,,,,,7,56,42,23,20,7,31,,,,
59070,,20,18,50,34,66,95,,,,,,,,,,,6,22,9,71,86,,,,,,,,,
59071,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59072,,21,22,59,50,67,89,,,,,,,,,,,,20,20,42,85,,,,,,,,,
59090,,53,26,31,35,,,,,,,,,,,,,12,38,174,,,,,,,,,,,
59093,,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59094,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59096,,1,2,1,2,2,,,,,,,,,,,,1,1,2,5,,,,,,,,,,
59097,,,1,3,3,1,2,,,,,,,,,,,,2,1,1,5,,,,,,,,,
59101,,,4,3,5,1,2,1,1,1,3,3,,,,,,,5,7,3,17,8,21,12,18,16,,,,
59105,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59118,,256,258,,,,,,,,,,,,,,,155,,,,,,,,,,,,,
59137,,,,1,2,1,2,2,,,,,,,,,,,,2,1,4,3,,,,,,,,
59138,,,2,,5,1,3,4,5,,,,,,,,,,,,1,9,14,12,,,,,,,
59141,,98,145,157,,,,,,,,,,,,,,71,38,,,,,,,,,,,,
59142,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59156,,,,3,2,,,14,,,,,,,,,,,,13,,,,,,,,,,,
59157,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59164,,23,5,12,,11,5,8,4,5,1,,,,,,,1,8,,,27,28,29,24,15,,,,,
59165,,29,28,47,43,,,,,,,,,,,,,13,29,24,,,,,,,,,,,
59166,,48,53,43,,,,,,,,,,,,,,23,30,,,,,,,,,,,,
59169,,32,50,48,,,,,,,,,,,,,,30,23,,,,,,,,,,,,
59174,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,
59175,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59178,,,,,,153,150,138,,,,,,,,,,,,,,69,152,,,,,,,,
59184,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59186,,32,,49,39,28,44,43,57,,,,,,,,,,,2,23,120,178,156,,,,,,,
59188,,58,62,79,78,,,,,,,,,,,,,56,76,54,,,,,,,,,,,
59189,,89,89,104,,,,,,,,,,,,,,63,73,,,,,,,,,,,,
59196,,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,
59197,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,
59207,,,,16,25,16,,,,,,,,,,,,,,17,20,,,,,,,,,,
59208,,62,53,72,73,,,,,,,,,,,,,27,31,43,,,,,,,,,,,
59209,,9,25,15,31,24,31,31,,,,,,,,,,15,7,15,14,28,43,,,,,,,,
59210,,32,41,29,55,52,,,,,,,,,,,,27,14,67,19,,,,,,,,,,
59211,,34,45,46,62,,,,,,,,,,,,,19,28,48,,,,,,,,,,,
59213,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59215,,15,12,21,23,,,,,,,,,,,,,10,16,15,,,,,,,,,,,
59216,,45,56,82,84,,,,,,,,,,,,,14,54,60,,,,,,,,,,,
59217,,29,58,,,,,,,,,,,,,,,32,,,,,,,,,,,,,
59218,,42,77,,,,,,,,,,,,,,,22,,,,,,,,,,,,,
59219,,41,53,81,,,,,,,,,,,,,,23,50,,,,,,,,,,,,
59238,,41,95,75,128,,,,,,,,,,,,,81,41,156,,,,,,,,,,,
59247,,,207,,262,294,,,,,,,,,,,,,,,,,,,,,,,,,
59249,,16,3,2,4,2,,,,,,,,,,,,2,8,27,54,,,,,,,,,,
59250,,20,23,21,28,21,,,,,,,,,,,,11,11,13,12,,,,,,,,,,
59251,,19,17,19,20,,,,,,,,,,,,,7,10,9,,,,,,,,,,,
59260,,,,139,163,151,,,,,,,,,,,,,,143,121,,,,,,,,,,
59261,,130,185,,,,,,,,,,,,,,,76,,,,,,,,,,,,,
59262,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59271,,,11,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
59275,,,,34,51,,,,,,,,,,,,,,,20,,,,,,,,,,,
59281,,95,89,161,141,189,155,210,199,,,,,,,,,27,51,108,108,95,175,144,,,,,,,
59282,,,,227,223,,,,,,,,,,,,,,,,,,,,,,,,,,
59284,,,5,32,25,41,,,,,,,,,,,,,6,23,69,,,,,,,,,,
59295,,13,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59297,,78,70,176,,,,,,,,,,,,,,38,63,,,,,,,,,,,,
59299,,57,57,84,79,105,108,,,,,,,,,,,29,56,25,48,87,,,,,,,,,
59300,,52,77,73,80,95,124,,,,,,,,,,,41,34,64,66,105,,,,,,,,,
59301,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59302,,21,22,21,,,,,,,,,,,,,,10,13,,,,,,,,,,,,
59303,,22,44,39,54,,,,,,,,,,,,,21,20,55,,,,,,,,,,,
59305,,39,33,,,,,,,,,,,,,,,16,,,,,,,,,,,,,
59306,,40,34,61,60,83,64,91,110,,,,,,,,,14,39,,19,35,58,62,,,,,,,
59307,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59308,,117,118,,,,,,,,,,,,,,,111,,,,,,,,,,,,,
59309,,14,7,20,7,25,16,39,20,28,30,34,38,,,,,7,14,8,60,24,75,33,48,110,69,169,,,
59320,,,4,21,,,,,,,,,,,,,,,9,,,,,,,,,,,,
59328,,,,16,18,9,13,14,,,,,,,,,,,,36,21,53,50,,,,,,,,
59329,,,,10,13,10,18,12,,,,,,,,,,,,35,34,71,20,,,,,,,,
59330,,,,13,29,,,,,,,,,,,,,,,100,,,,,,,,,,,
59331,,,,5,15,,,,,,,,,,,,,,,48,,,,,,,,,,,
59332,,,,6,6,4,5,11,,,,,,,,,,,,13,55,34,74,,,,,,,,
59333,,22,49,,,,,,,,,,,,,,,26,,,,,,,,,,,,,
59334,,8,33,27,,,,,,,,,,,,,,13,20,,,,,,,,,,,,
59335,,,,55,53,,,,,,,,,,,,,,,31,,,,,,,,,,,
59340,,,,,,,,268,289,,223,235,,,,,,,,,,,,,,,158,,,,
59349,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59352,,15,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59353,,14,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59355,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59356,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59358,,30,32,29,36,,,,,,,,,,,,,,,25,,,,,,,,,,,
59360,,,,,,27,50,38,,,,,,,,,,,,,,62,46,,,,,,,,
59363,,7,7,11,13,14,13,15,14,13,18,,,,,,,1,13,9,13,29,10,38,13,42,,,,,
59366,,39,24,50,44,,,,,,,,,,,,,10,116,103,,,,,,,,,,,
59367,,11,35,19,23,23,59,57,,,78,76,,,,,,38,20,14,41,148,112,,,,152,,,,
59368,,70,47,75,51,,,,,,,,,,,,,28,100,35,,,,,,,,,,,
59370,,,,,,,,18,18,,,,,,,,,,,,,,,13,,,,,,,
59377,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59387,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59388,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59391,,157,,228,200,,,,,,,,,,,,,,,127,,,,,,,,,,,
59401,,,,16,9,33,27,47,39,,,,,,,,,,,3,42,22,37,48,,,,,,,
59411,,23,63,37,38,38,42,46,76,,,,,,,,,76,43,3,118,15,188,199,,,,,,,
59412,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59413,,5,12,7,11,12,18,22,,,,,,,,,,17,4,43,49,21,142,,,,,,,,
59419,,,1,6,2,4,1,5,2,5,4,,7,,,,,,6,4,1,3,14,12,19,11,,,,,
59421,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59422,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59423,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59424,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59427,,,,,32,62,46,70,59,59,60,,,,,,,,,,75,64,76,94,106,47,,,,,
59443,,,,5,3,6,4,8,6,,,,,,,,,,,1,5,11,26,45,,,,,,,
59445,,53,47,,,,,,,,,,,,,,,25,,,,,,,,,,,,,
59448,,,,25,51,50,,,,,,,,,,,,,,23,32,,,,,,,,,,
59452,,,,9,23,18,30,,,,,43,,,,,,,,16,24,39,,,,,,,,,
59454,,,2,4,3,5,3,6,5,12,14,24,,,,,,,8,5,3,13,38,47,52,47,74,,,,
59461,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59463,,210,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59487,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
59490,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59493,,9,13,13,30,28,28,24,27,,,,,,,,,10,14,35,42,15,10,33,,,,,,,
59494,,32,32,65,55,,,,,,,,,,,,,17,51,39,,,,,,,,,,,
59496,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59506,,,,25,13,19,13,12,14,15,25,,,,,,,,,1,16,25,19,61,42,37,,,,,
59507,,,,70,97,,,,,,,,,,,,,,,54,,,,,,,,,,,
59518,,,12,,27,15,39,24,,,,,,,,,,,,,43,110,64,,,,,,,,
59520,,,,,,,106,158,,,,,,,,,,,,,,,133,,,,,,,,
59529,,7,7,4,3,2,6,3,8,6,8,8,,,,,,1,3,3,21,40,27,71,35,32,72,,,,
59532,,,,,16,11,18,14,,13,19,13,17,,,,,,,,,12,10,,,4,6,14,,,
59533,,,3,,12,8,14,,,,,,,,,,,,,,6,12,,,,,,,,,
59534,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59535,,38,,65,49,44,46,48,60,,,,,,,,,,,7,44,51,61,66,,,,,,,
59537,,,1,1,2,1,2,1,2,,2,2,,,,,,,1,1,2,16,27,66,,,64,,,,
59539,,,,1,1,1,4,3,3,1,3,1,,4,,,,,,2,2,3,7,1,6,13,17,,,,
59540,,,,,2,2,1,2,1,4,4,1,1,,,,,,,,1,2,5,4,2,7,6,10,,,
59549,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59551,,28,62,45,70,,,,,,,,,,,,,40,34,75,,,,,,,,,,,
59552,,,,62,41,78,,,,,,,,,,,,,,48,73,,,,,,,,,,
59553,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59554,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59555,,62,90,59,49,39,64,59,59,45,,,,,,,,17,38,8,32,163,96,81,94,,,,,,
59556,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
59570,,6,8,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
59573,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59575,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,
59580,,,,2,10,5,8,7,13,10,20,,49,12,,,,,,3,6,12,14,34,10,27,,,4,,
59582,,,,36,33,39,26,,,,,,,,,,,,,17,39,24,,,,,,,,,
59588,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59590,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59591,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59592,,130,111,172,136,183,,,,,,,,,,,,49,83,84,186,,,,,,,,,,
59596,,76,49,94,67,103,,,,,,,,,,,,20,64,39,134,,,,,,,,,,
59608,,101,74,129,,,,,,,,,,,,,,33,88,,,,,,,,,,,,
59609,,42,80,104,,,,,,,,,,,,,,43,50,,,,,,,,,,,,
59610,,80,52,86,92,,,,,,,,,,,,,21,83,82,,,,,,,,,,,
59612,,,,,,,,137,,,,,,,,,,,,,,,,,,,,,,,
59616,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59617,,8,5,3,6,7,14,5,20,,26,21,32,27,,,,4,1,19,40,27,9,120,,,67,140,85,,
59618,,17,66,,,,,,,,,,,,,,,39,,,,,,,,,,,,,
59619,,11,6,4,8,3,3,7,17,,24,27,42,39,,,,4,2,13,8,15,70,106,,,117,128,110,,
59620,,16,9,14,26,18,38,31,53,,,,,,,,,3,11,16,18,55,52,84,,,,,,,
59626,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59629,,13,25,34,38,,,,,,,,,,,,,5,18,30,,,,,,,,,,,
59630,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59631,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
59634,,24,108,,226,,,,,,,,,,,,,,,,,,,,,,,,,,
59639,,,,7,7,,,,,,,,,,,,,,,6,,,,,,,,,,,
59640,,,,6,5,5,,,,,,,,,,,,,,3,6,,,,,,,,,,
59641,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
59642,,,,7,7,8,6,,,,,,,,,,,,,4,8,7,,,,,,,,,
59643,,,,,,20,12,19,15,16,17,21,23,,,,,,,,,8,22,23,19,19,50,60,,,
59644,,,,3,2,3,,,,,,,,,,,,,,2,2,,,,,,,,,,
59646,,16,,,,43,34,39,31,,,,,,,,,,,,,31,29,34,,,,,,,
59647,,,10,14,19,15,20,17,27,22,47,58,,,,,,,12,23,21,26,38,99,86,128,176,,,,
59648,,,29,21,31,29,,,,,,,,,,,,,13,51,84,,,,,,,,,,
59651,,,,,45,43,,,,,,,,,,,,,,,51,,,,,,,,,,
59674,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
59681,,,,60,,76,79,101,100,,125,,,,,,,,,,,78,85,84,,,,,,,
59682,,,,,,22,22,,,,,,,,,,,,,,,29,,,,,,,,,
59683,,,,83,66,77,75,97,92,,,,,,,,,,,54,43,110,64,128,,,,,,,
59684,,,,83,124,142,,,,,,,,,,,,,,148,127,,,,,,,,,,
