ID,2012 pořadí kraj kategorie,2013 pořadí kraj kategorie,2014 pořadí kraj kategorie,2015 pořadí kraj kategorie,2016 pořadí kraj kategorie,2017 pořadí kraj kategorie,2018 pořadí kraj kategorie,2019 pořadí kraj kategorie,2020 pořadí kraj kategorie,2021 pořadí kraj kategorie,2022 pořadí kraj kategorie,2023 pořadí kraj kategorie,2024 pořadí kraj kategorie,2025 pořadí kraj kategorie,2026 pořadí kraj kategorie,2027 pořadí kraj kategorie,2013 Pořadí skokani kraj kategorie,2014 Pořadí skokani kraj kategorie,2015 Pořadí skokani kraj kategorie,2016 Pořadí skokani kraj kategorie,2017 Pořadí skokani kraj kategorie,2018 Pořadí skokani kraj kategorie,2019 Pořadí skokani kraj kategorie,2020 Pořadí skokani kraj kategorie,2021 Pořadí skokani kraj kategorie,2022 Pořadí skokani kraj kategorie,2023 Pořadí skokani kraj kategorie,2024 Pořadí skokani kraj kategorie,2025 Pořadí skokani kraj kategorie,2026 Pořadí skokani kraj kategorie,2027 Pořadí skokani kraj kategorie
30303,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30352,9,9,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,
30468,1,5,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,
30900,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30902,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30931,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31061,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31091,,3,3,6,4,4,,7,8,,,,,,,,,5,6,6,6,,,12,,,,,,,
31094,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31108,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31219,1,1,1,,,,,,,,,,,,,,13,4,,,,,,,,,,,,,
31260,2,1,1,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,
31266,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31269,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31306,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31435,33,27,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,
31439,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31582,1,5,5,,,,,,,,,,,,,,26,109,,,,,,,,,,,,,
31753,12,11,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,
31883,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32097,1,4,2,5,,,,,,,,,,,,,10,12,6,,,,,,,,,,,,
32099,3,3,3,,,,,,,,,,,,,,109,132,,,,,,,,,,,,,
32106,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32148,6,8,,,,,,,,,,,,,,,146,,,,,,,,,,,,,,
32220,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32263,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32272,19,14,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,
32273,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32274,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32321,5,6,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,
32354,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32425,2,1,2,,,,,,,,,,,,,,15,23,,,,,,,,,,,,,
32434,1,1,2,1,,,,,,,,,,,,,12,9,10,,,,,,,,,,,,
32458,23,20,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,
32585,1,2,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
32604,1,2,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,
32621,13,11,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,
32635,2,1,1,,,,,,,,,,,,,,10,5,,,,,,,,,,,,,
32643,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32650,2,3,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,
32695,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32703,39,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32769,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32782,4,5,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,
32965,12,12,,,,,,,,,,,,,,,116,,,,,,,,,,,,,,
33023,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33028,20,36,37,,,,,,,,,,,,,,100,71,,,,,,,,,,,,,
33095,8,11,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,
33107,2,2,3,3,5,4,5,6,15,,,,,,,,5,9,16,17,19,19,25,21,,,,,,,
33108,25,28,,,,,,,,,,,,,,,194,,,,,,,,,,,,,,
33214,10,10,10,,,,,,,,,,,,,,8,34,,,,,,,,,,,,,
33334,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33366,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33401,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33429,11,14,10,18,,,,,,,,,,,,,6,57,213,,,,,,,,,,,,
33481,4,6,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,
33482,6,9,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,
33484,1,1,1,1,,,,,,,,,,,,,92,197,98,,,,,,,,,,,,
33486,1,1,1,1,,,,,,,,,,,,,9,22,19,,,,,,,,,,,,
33571,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33609,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33613,61,70,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,
33657,40,31,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,
33727,3,2,3,3,5,6,,,,,,,,,,,14,57,78,89,146,,,,,,,,,,
33728,89,73,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,
33737,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33852,50,52,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,
33865,3,7,,,,,,,,,,,,,,,137,,,,,,,,,,,,,,
33869,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33895,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34000,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34060,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34084,14,10,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,
34108,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34109,28,30,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,
34120,26,18,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,
34123,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34129,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34137,42,54,49,,,,,,,,,,,,,,48,165,,,,,,,,,,,,,
34173,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34200,20,22,,,,,,,,,,,,,,,177,,,,,,,,,,,,,,
34203,51,40,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,
34311,22,20,35,20,35,30,51,51,,,,,,,,,27,74,28,95,127,235,164,,,,,,,,
34313,4,18,10,23,16,17,13,15,21,18,17,,,,,,29,9,97,25,6,29,145,177,42,67,,,,,
34316,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34344,9,10,8,14,10,,,,,,,,,,,,6,13,14,8,,,,,,,,,,,
34345,26,24,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,
34346,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34377,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34424,6,12,9,,,,,,,,,,,,,,86,62,,,,,,,,,,,,,
34425,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34446,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34447,13,4,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,
34468,1,1,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,
34478,3,4,3,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,
34519,16,11,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,
34521,1,2,1,1,,,,,,,,,,,,,20,164,279,,,,,,,,,,,,
34523,15,25,20,,19,,,,,,,,,,,,25,22,,,,,,,,,,,,,
34526,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34546,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
