Typ,Pohlaví,ID,Hráč,Oddíl,STR,STR změna
ranking,M,28895,Širuček Pavel,"HB Ostrov , z.s.",2526,
ranking,M,39045,Reitšpies David,Stavební fakulta SK Kotlářka El Niňo Praha,2497,
ranking,M,35721,Gavlas Antonín ml.,Sportovní klub stolního tenisu Chodov z. s.,2471,
ranking,M,51123,Martinko Jiří,Sportovní klub stolního tenisu Chodov z. s.,2468,
ranking,M,11893,Konečný Tomáš,Stavební fakulta SK Kotlářka El Niňo Praha,2448,
ranking,M,56515,Vráblík Jiří,"HB Ostrov , z.s.",2437,
ranking,M,88691,Pryshchepa Ievgen,Stavební fakulta SK Kotlářka El Niňo Praha,2422,
ranking,M,79651,Zelinka Jakub,Sportovní klub stolního tenisu Chodov z. s.,2412,
ranking,M,50716,Onderka František,TJ Sokol PP Hradec Králové 2,2406,
ranking,M,44508,Klos Patrik,Tělovýchovná jednota Ostrava,2400,
ranking,Z,88791,Mukherjee Sagarika,"TT Moravský Krumlov, z.s.",2157,
ranking,Z,52519,Blašková Zdena,"HB Ostrov , z.s.",2136,
ranking,Z,84661,Chen Ying-Chen,"Městský sportovní klub Břeclav stolní tenis, pobočný spolek",2131,
ranking,Z,85874,Kukulková Tatiana,"HB Ostrov , z.s.",2116,
ranking,Z,33486,Grofová Karin,SKST Hodonín z.s.,2115,
ranking,Z,372,Ševčíková Markéta,SKST Hodonín z.s.,2106,
ranking,Z,85795,Michalak Aleksandra,"SK Dobré, z.s.",2105,
ranking,Z,92472,Liu Xingchi,"HB Ostrov , z.s.",2096,
ranking,Z,85871,Nath Kaushani,"TT Moravský Krumlov, z.s.",2088,
ranking,Z,90195,LIAO Ting-Yao,SKST Hodonín z.s.,2073,
movers,M,86487,Thér Martin,"TJ Slovan Broumov, z.s.",,584
movers,M,80274,Bartoš Dominik,"TJ Tatran Hostinné, spolek",,542
movers,M,84932,Trnavský Jan,Sportovní klub stolního tenisu Havířov z.s.,,515
movers,M,82475,Janoušek Jiří,"TJ Spartak Čelákovice, z.s.",,480
movers,M,83968,Kosina Vojtěch,"TJ Tatran Hostinné, spolek",,453
movers,Z,87457,Solfronková Ema,"TJ Sokol Popůvky, z.s.",,437
movers,M,82979,Dvorský Vojtěch,"TTC Moravská Slavia Brno, z.s.",,430
movers,M,87836,Rybář Milan,z.s.TTC Klánovice - stolní tenis,,418
movers,M,83671,Buk Lukáš,Stolní tenis Velké Meziříčí,,383
movers,M,83598,Urbánek Matyáš,"Klub stolního tenisu Dolní Němčí, z.s.",,382
movers,M,73116,Hynek Lukáš,Orel jednota Vysoké Mýto,,381
movers,Z,83537,Hlawatschke Mína,TJ Sokol PP Hradec Králové 2,,336
movers,Z,80960,Schwarzová Ela,TJ Šumavan Vimperk z.s.,,314
movers,Z,82339,Bubeníčková Kateřina,"TJ Aero Odolena Voda, z.s.",,313
movers,Z,81588,Martinů Karolína,"Sportovní klub Jihlava, z.s.",,301
movers,Z,80958,Paterová Tereza,TJ Šumavan Vimperk z.s.,,299
movers,Z,82839,Kumstová Anna,"TJ Slavoj Praha, spolek",,299
movers,Z,81319,Bielčiková Simona,"TJ Slavoj Praha, spolek",,298
movers,Z,74345,Krňová Anna,"TJ Sokol Čechovice, z.s.",,294
movers,Z,76663,Nováková Naia,SKST Hodonín z.s.,,291
